model,dataset,N,T_star,n_problems
Phi-4-mini-instruct,aime2026,1,0.7,3
Phi-4-mini-instruct,aime2026,1,0.8,2
Phi-4-mini-instruct,aime2026,1,0.9,3
Phi-4-mini-instruct,aime2026,1,1.0,1
Phi-4-mini-instruct,aime2026,1,1.1,1
Phi-4-mini-instruct,aime2026,1,1.2,1
Phi-4-mini-instruct,aime2026,2,0.1,3
Phi-4-mini-instruct,aime2026,2,0.2,1
Phi-4-mini-instruct,aime2026,2,0.3,2
Phi-4-mini-instruct,aime2026,2,0.4,2
Phi-4-mini-instruct,aime2026,2,0.5,4
Phi-4-mini-instruct,aime2026,2,0.6,1
Phi-4-mini-instruct,aime2026,2,0.7,3
Phi-4-mini-instruct,aime2026,2,0.8,3
Phi-4-mini-instruct,aime2026,2,0.9,1
Phi-4-mini-instruct,aime2026,2,1.0,2
Phi-4-mini-instruct,aime2026,2,1.1,1
Phi-4-mini-instruct,aime2026,2,1.2,1
Phi-4-mini-instruct,aime2026,4,0.1,3
Phi-4-mini-instruct,aime2026,4,0.2,1
Phi-4-mini-instruct,aime2026,4,0.3,1
Phi-4-mini-instruct,aime2026,4,0.4,3
Phi-4-mini-instruct,aime2026,4,0.5,4
Phi-4-mini-instruct,aime2026,4,0.6,2
Phi-4-mini-instruct,aime2026,4,0.7,2
Phi-4-mini-instruct,aime2026,4,0.8,1
Phi-4-mini-instruct,aime2026,4,0.9,3
Phi-4-mini-instruct,aime2026,4,1.0,2
Phi-4-mini-instruct,aime2026,4,1.1,2
Phi-4-mini-instruct,aime2026,8,0.1,3
Phi-4-mini-instruct,aime2026,8,0.2,1
Phi-4-mini-instruct,aime2026,8,0.3,1
Phi-4-mini-instruct,aime2026,8,0.4,2
Phi-4-mini-instruct,aime2026,8,0.5,4
Phi-4-mini-instruct,aime2026,8,0.6,2
Phi-4-mini-instruct,aime2026,8,0.7,1
Phi-4-mini-instruct,aime2026,8,0.8,5
Phi-4-mini-instruct,aime2026,8,0.9,1
Phi-4-mini-instruct,aime2026,8,1.0,3
Phi-4-mini-instruct,aime2026,8,1.1,1
Phi-4-mini-instruct,aime2026,16,0.1,8
Phi-4-mini-instruct,aime2026,16,0.3,2
Phi-4-mini-instruct,aime2026,16,0.4,3
Phi-4-mini-instruct,aime2026,16,0.5,2
Phi-4-mini-instruct,aime2026,16,0.6,1
Phi-4-mini-instruct,aime2026,16,0.7,1
Phi-4-mini-instruct,aime2026,16,0.8,2
Phi-4-mini-instruct,aime2026,16,0.9,2
Phi-4-mini-instruct,aime2026,16,1.0,1
Phi-4-mini-instruct,aime2026,16,1.1,2
Phi-4-mini-instruct,aime2026,32,0.1,18
Phi-4-mini-instruct,aime2026,32,0.2,1
Phi-4-mini-instruct,aime2026,32,0.4,1
Phi-4-mini-instruct,aime2026,32,0.5,2
Phi-4-mini-instruct,aime2026,32,0.8,2
Phi-4-mini-instruct,aime2026,64,0.1,21
Phi-4-mini-instruct,aime2026,64,0.4,1
Phi-4-mini-instruct,aime2026,64,0.5,2
Phi-4-mini-instruct,aime2026,128,0.1,21
Phi-4-mini-instruct,aime2026,128,0.4,1
Phi-4-mini-instruct,aime2026,128,0.5,2
Phi-4-mini-instruct,aime2026,256,0.1,21
Phi-4-mini-instruct,aime2026,256,0.4,1
Phi-4-mini-instruct,aime2026,256,0.5,2
Phi-4-mini-instruct,aime2026,512,0.1,21
Phi-4-mini-instruct,aime2026,512,0.4,1
Phi-4-mini-instruct,aime2026,512,0.5,1
Phi-4-mini-instruct,aime2026,512,0.7,1
Phi-4-mini-instruct,aime2026,1024,0.1,21
Phi-4-mini-instruct,aime2026,1024,0.4,1
Phi-4-mini-instruct,aime2026,1024,0.5,2
Phi-4-mini-instruct,aime2026,1536,0.1,21
Phi-4-mini-instruct,aime2026,1536,0.4,2
Phi-4-mini-instruct,aime2026,1536,0.5,1
Phi-4-mini-instruct,aime2026,2048,0.1,22
Phi-4-mini-instruct,aime2026,2048,0.4,2
Phi-4-mini-instruct,gsm8kfull,1,0.1,1011
Phi-4-mini-instruct,gsm8kfull,1,0.2,45
Phi-4-mini-instruct,gsm8kfull,1,0.3,21
Phi-4-mini-instruct,gsm8kfull,1,0.4,18
Phi-4-mini-instruct,gsm8kfull,1,0.5,17
Phi-4-mini-instruct,gsm8kfull,1,0.6,24
Phi-4-mini-instruct,gsm8kfull,1,0.7,25
Phi-4-mini-instruct,gsm8kfull,1,0.8,21
Phi-4-mini-instruct,gsm8kfull,1,0.9,40
Phi-4-mini-instruct,gsm8kfull,1,1.0,42
Phi-4-mini-instruct,gsm8kfull,1,1.1,37
Phi-4-mini-instruct,gsm8kfull,1,1.2,18
Phi-4-mini-instruct,gsm8kfull,2,0.1,1008
Phi-4-mini-instruct,gsm8kfull,2,0.2,41
Phi-4-mini-instruct,gsm8kfull,2,0.3,22
Phi-4-mini-instruct,gsm8kfull,2,0.4,19
Phi-4-mini-instruct,gsm8kfull,2,0.5,16
Phi-4-mini-instruct,gsm8kfull,2,0.6,13
Phi-4-mini-instruct,gsm8kfull,2,0.7,27
Phi-4-mini-instruct,gsm8kfull,2,0.8,19
Phi-4-mini-instruct,gsm8kfull,2,0.9,33
Phi-4-mini-instruct,gsm8kfull,2,1.0,42
Phi-4-mini-instruct,gsm8kfull,2,1.1,57
Phi-4-mini-instruct,gsm8kfull,2,1.2,22
Phi-4-mini-instruct,gsm8kfull,4,0.1,974
Phi-4-mini-instruct,gsm8kfull,4,0.2,45
Phi-4-mini-instruct,gsm8kfull,4,0.3,17
Phi-4-mini-instruct,gsm8kfull,4,0.4,24
Phi-4-mini-instruct,gsm8kfull,4,0.5,16
Phi-4-mini-instruct,gsm8kfull,4,0.6,18
Phi-4-mini-instruct,gsm8kfull,4,0.7,30
Phi-4-mini-instruct,gsm8kfull,4,0.8,23
Phi-4-mini-instruct,gsm8kfull,4,0.9,35
Phi-4-mini-instruct,gsm8kfull,4,1.0,47
Phi-4-mini-instruct,gsm8kfull,4,1.1,61
Phi-4-mini-instruct,gsm8kfull,4,1.2,29
Phi-4-mini-instruct,gsm8kfull,8,0.1,993
Phi-4-mini-instruct,gsm8kfull,8,0.2,38
Phi-4-mini-instruct,gsm8kfull,8,0.3,20
Phi-4-mini-instruct,gsm8kfull,8,0.4,25
Phi-4-mini-instruct,gsm8kfull,8,0.5,16
Phi-4-mini-instruct,gsm8kfull,8,0.6,13
Phi-4-mini-instruct,gsm8kfull,8,0.7,24
Phi-4-mini-instruct,gsm8kfull,8,0.8,21
Phi-4-mini-instruct,gsm8kfull,8,0.9,28
Phi-4-mini-instruct,gsm8kfull,8,1.0,41
Phi-4-mini-instruct,gsm8kfull,8,1.1,58
Phi-4-mini-instruct,gsm8kfull,8,1.2,42
Phi-4-mini-instruct,gsm8kfull,16,0.1,1057
Phi-4-mini-instruct,gsm8kfull,16,0.2,27
Phi-4-mini-instruct,gsm8kfull,16,0.3,18
Phi-4-mini-instruct,gsm8kfull,16,0.4,13
Phi-4-mini-instruct,gsm8kfull,16,0.5,16
Phi-4-mini-instruct,gsm8kfull,16,0.6,18
Phi-4-mini-instruct,gsm8kfull,16,0.7,21
Phi-4-mini-instruct,gsm8kfull,16,0.8,13
Phi-4-mini-instruct,gsm8kfull,16,0.9,23
Phi-4-mini-instruct,gsm8kfull,16,1.0,25
Phi-4-mini-instruct,gsm8kfull,16,1.1,49
Phi-4-mini-instruct,gsm8kfull,16,1.2,39
Phi-4-mini-instruct,gsm8kfull,32,0.1,1110
Phi-4-mini-instruct,gsm8kfull,32,0.2,19
Phi-4-mini-instruct,gsm8kfull,32,0.3,17
Phi-4-mini-instruct,gsm8kfull,32,0.4,20
Phi-4-mini-instruct,gsm8kfull,32,0.5,15
Phi-4-mini-instruct,gsm8kfull,32,0.6,7
Phi-4-mini-instruct,gsm8kfull,32,0.7,17
Phi-4-mini-instruct,gsm8kfull,32,0.8,10
Phi-4-mini-instruct,gsm8kfull,32,0.9,20
Phi-4-mini-instruct,gsm8kfull,32,1.0,24
Phi-4-mini-instruct,gsm8kfull,32,1.1,30
Phi-4-mini-instruct,gsm8kfull,32,1.2,30
Phi-4-mini-instruct,gsm8kfull,64,0.1,1146
Phi-4-mini-instruct,gsm8kfull,64,0.2,24
Phi-4-mini-instruct,gsm8kfull,64,0.3,22
Phi-4-mini-instruct,gsm8kfull,64,0.4,16
Phi-4-mini-instruct,gsm8kfull,64,0.5,10
Phi-4-mini-instruct,gsm8kfull,64,0.6,12
Phi-4-mini-instruct,gsm8kfull,64,0.7,10
Phi-4-mini-instruct,gsm8kfull,64,0.8,14
Phi-4-mini-instruct,gsm8kfull,64,0.9,11
Phi-4-mini-instruct,gsm8kfull,64,1.0,5
Phi-4-mini-instruct,gsm8kfull,64,1.1,28
Phi-4-mini-instruct,gsm8kfull,64,1.2,21
Phi-4-mini-instruct,gsm8kfull,128,0.1,1170
Phi-4-mini-instruct,gsm8kfull,128,0.2,24
Phi-4-mini-instruct,gsm8kfull,128,0.3,22
Phi-4-mini-instruct,gsm8kfull,128,0.4,13
Phi-4-mini-instruct,gsm8kfull,128,0.5,13
Phi-4-mini-instruct,gsm8kfull,128,0.6,9
Phi-4-mini-instruct,gsm8kfull,128,0.7,7
Phi-4-mini-instruct,gsm8kfull,128,0.8,6
Phi-4-mini-instruct,gsm8kfull,128,0.9,8
Phi-4-mini-instruct,gsm8kfull,128,1.0,7
Phi-4-mini-instruct,gsm8kfull,128,1.1,21
Phi-4-mini-instruct,gsm8kfull,128,1.2,19
Phi-4-mini-instruct,gsm8kfull,256,0.1,1195
Phi-4-mini-instruct,gsm8kfull,256,0.2,16
Phi-4-mini-instruct,gsm8kfull,256,0.3,26
Phi-4-mini-instruct,gsm8kfull,256,0.4,14
Phi-4-mini-instruct,gsm8kfull,256,0.5,9
Phi-4-mini-instruct,gsm8kfull,256,0.6,5
Phi-4-mini-instruct,gsm8kfull,256,0.7,6
Phi-4-mini-instruct,gsm8kfull,256,0.8,7
Phi-4-mini-instruct,gsm8kfull,256,0.9,6
Phi-4-mini-instruct,gsm8kfull,256,1.0,8
Phi-4-mini-instruct,gsm8kfull,256,1.1,13
Phi-4-mini-instruct,gsm8kfull,256,1.2,14
Phi-4-mini-instruct,gsm8kfull,512,0.1,1204
Phi-4-mini-instruct,gsm8kfull,512,0.2,26
Phi-4-mini-instruct,gsm8kfull,512,0.3,20
Phi-4-mini-instruct,gsm8kfull,512,0.4,15
Phi-4-mini-instruct,gsm8kfull,512,0.5,8
Phi-4-mini-instruct,gsm8kfull,512,0.6,4
Phi-4-mini-instruct,gsm8kfull,512,0.7,4
Phi-4-mini-instruct,gsm8kfull,512,0.8,6
Phi-4-mini-instruct,gsm8kfull,512,0.9,8
Phi-4-mini-instruct,gsm8kfull,512,1.0,6
Phi-4-mini-instruct,gsm8kfull,512,1.1,7
Phi-4-mini-instruct,gsm8kfull,512,1.2,11
Phi-4-mini-instruct,gsm8kfull,1024,0.1,1210
Phi-4-mini-instruct,gsm8kfull,1024,0.2,34
Phi-4-mini-instruct,gsm8kfull,1024,0.3,12
Phi-4-mini-instruct,gsm8kfull,1024,0.4,15
Phi-4-mini-instruct,gsm8kfull,1024,0.5,5
Phi-4-mini-instruct,gsm8kfull,1024,0.6,8
Phi-4-mini-instruct,gsm8kfull,1024,0.7,5
Phi-4-mini-instruct,gsm8kfull,1024,0.8,5
Phi-4-mini-instruct,gsm8kfull,1024,0.9,7
Phi-4-mini-instruct,gsm8kfull,1024,1.0,5
Phi-4-mini-instruct,gsm8kfull,1024,1.1,6
Phi-4-mini-instruct,gsm8kfull,1024,1.2,7
Phi-4-mini-instruct,gsm8kfull,1536,0.1,1216
Phi-4-mini-instruct,gsm8kfull,1536,0.2,32
Phi-4-mini-instruct,gsm8kfull,1536,0.3,14
Phi-4-mini-instruct,gsm8kfull,1536,0.4,13
Phi-4-mini-instruct,gsm8kfull,1536,0.5,6
Phi-4-mini-instruct,gsm8kfull,1536,0.6,6
Phi-4-mini-instruct,gsm8kfull,1536,0.7,8
Phi-4-mini-instruct,gsm8kfull,1536,0.8,6
Phi-4-mini-instruct,gsm8kfull,1536,0.9,7
Phi-4-mini-instruct,gsm8kfull,1536,1.0,1
Phi-4-mini-instruct,gsm8kfull,1536,1.1,6
Phi-4-mini-instruct,gsm8kfull,1536,1.2,4
Phi-4-mini-instruct,gsm8kfull,2048,0.1,1219
Phi-4-mini-instruct,gsm8kfull,2048,0.2,32
Phi-4-mini-instruct,gsm8kfull,2048,0.3,12
Phi-4-mini-instruct,gsm8kfull,2048,0.4,12
Phi-4-mini-instruct,gsm8kfull,2048,0.5,6
Phi-4-mini-instruct,gsm8kfull,2048,0.6,8
Phi-4-mini-instruct,gsm8kfull,2048,0.7,7
Phi-4-mini-instruct,gsm8kfull,2048,0.8,6
Phi-4-mini-instruct,gsm8kfull,2048,0.9,6
Phi-4-mini-instruct,gsm8kfull,2048,1.0,1
Phi-4-mini-instruct,gsm8kfull,2048,1.1,6
Phi-4-mini-instruct,gsm8kfull,2048,1.2,4
Phi-4-mini-instruct,math500,1,0.1,252
Phi-4-mini-instruct,math500,1,0.2,27
Phi-4-mini-instruct,math500,1,0.3,35
Phi-4-mini-instruct,math500,1,0.4,23
Phi-4-mini-instruct,math500,1,0.5,25
Phi-4-mini-instruct,math500,1,0.6,24
Phi-4-mini-instruct,math500,1,0.7,24
Phi-4-mini-instruct,math500,1,0.8,23
Phi-4-mini-instruct,math500,1,0.9,19
Phi-4-mini-instruct,math500,1,1.0,27
Phi-4-mini-instruct,math500,1,1.1,12
Phi-4-mini-instruct,math500,1,1.2,3
Phi-4-mini-instruct,math500,2,0.1,246
Phi-4-mini-instruct,math500,2,0.2,28
Phi-4-mini-instruct,math500,2,0.3,31
Phi-4-mini-instruct,math500,2,0.4,29
Phi-4-mini-instruct,math500,2,0.5,24
Phi-4-mini-instruct,math500,2,0.6,21
Phi-4-mini-instruct,math500,2,0.7,29
Phi-4-mini-instruct,math500,2,0.8,19
Phi-4-mini-instruct,math500,2,0.9,21
Phi-4-mini-instruct,math500,2,1.0,24
Phi-4-mini-instruct,math500,2,1.1,19
Phi-4-mini-instruct,math500,2,1.2,3
Phi-4-mini-instruct,math500,4,0.1,228
Phi-4-mini-instruct,math500,4,0.2,33
Phi-4-mini-instruct,math500,4,0.3,29
Phi-4-mini-instruct,math500,4,0.4,31
Phi-4-mini-instruct,math500,4,0.5,27
Phi-4-mini-instruct,math500,4,0.6,21
Phi-4-mini-instruct,math500,4,0.7,27
Phi-4-mini-instruct,math500,4,0.8,24
Phi-4-mini-instruct,math500,4,0.9,24
Phi-4-mini-instruct,math500,4,1.0,27
Phi-4-mini-instruct,math500,4,1.1,21
Phi-4-mini-instruct,math500,4,1.2,2
Phi-4-mini-instruct,math500,8,0.1,247
Phi-4-mini-instruct,math500,8,0.2,23
Phi-4-mini-instruct,math500,8,0.3,22
Phi-4-mini-instruct,math500,8,0.4,35
Phi-4-mini-instruct,math500,8,0.5,25
Phi-4-mini-instruct,math500,8,0.6,17
Phi-4-mini-instruct,math500,8,0.7,25
Phi-4-mini-instruct,math500,8,0.8,21
Phi-4-mini-instruct,math500,8,0.9,29
Phi-4-mini-instruct,math500,8,1.0,30
Phi-4-mini-instruct,math500,8,1.1,19
Phi-4-mini-instruct,math500,8,1.2,1
Phi-4-mini-instruct,math500,16,0.1,275
Phi-4-mini-instruct,math500,16,0.2,19
Phi-4-mini-instruct,math500,16,0.3,22
Phi-4-mini-instruct,math500,16,0.4,27
Phi-4-mini-instruct,math500,16,0.5,21
Phi-4-mini-instruct,math500,16,0.6,16
Phi-4-mini-instruct,math500,16,0.7,21
Phi-4-mini-instruct,math500,16,0.8,22
Phi-4-mini-instruct,math500,16,0.9,21
Phi-4-mini-instruct,math500,16,1.0,28
Phi-4-mini-instruct,math500,16,1.1,19
Phi-4-mini-instruct,math500,16,1.2,3
Phi-4-mini-instruct,math500,32,0.1,305
Phi-4-mini-instruct,math500,32,0.2,19
Phi-4-mini-instruct,math500,32,0.3,16
Phi-4-mini-instruct,math500,32,0.4,22
Phi-4-mini-instruct,math500,32,0.5,20
Phi-4-mini-instruct,math500,32,0.6,18
Phi-4-mini-instruct,math500,32,0.7,14
Phi-4-mini-instruct,math500,32,0.8,15
Phi-4-mini-instruct,math500,32,0.9,18
Phi-4-mini-instruct,math500,32,1.0,28
Phi-4-mini-instruct,math500,32,1.1,17
Phi-4-mini-instruct,math500,32,1.2,2
Phi-4-mini-instruct,math500,64,0.1,335
Phi-4-mini-instruct,math500,64,0.2,16
Phi-4-mini-instruct,math500,64,0.3,11
Phi-4-mini-instruct,math500,64,0.4,22
Phi-4-mini-instruct,math500,64,0.5,17
Phi-4-mini-instruct,math500,64,0.6,15
Phi-4-mini-instruct,math500,64,0.7,15
Phi-4-mini-instruct,math500,64,0.8,9
Phi-4-mini-instruct,math500,64,0.9,18
Phi-4-mini-instruct,math500,64,1.0,21
Phi-4-mini-instruct,math500,64,1.1,15
Phi-4-mini-instruct,math500,128,0.1,363
Phi-4-mini-instruct,math500,128,0.2,18
Phi-4-mini-instruct,math500,128,0.3,15
Phi-4-mini-instruct,math500,128,0.4,13
Phi-4-mini-instruct,math500,128,0.5,7
Phi-4-mini-instruct,math500,128,0.6,12
Phi-4-mini-instruct,math500,128,0.7,15
Phi-4-mini-instruct,math500,128,0.8,5
Phi-4-mini-instruct,math500,128,0.9,15
Phi-4-mini-instruct,math500,128,1.0,14
Phi-4-mini-instruct,math500,128,1.1,17
Phi-4-mini-instruct,math500,256,0.1,387
Phi-4-mini-instruct,math500,256,0.2,22
Phi-4-mini-instruct,math500,256,0.3,10
Phi-4-mini-instruct,math500,256,0.4,8
Phi-4-mini-instruct,math500,256,0.5,11
Phi-4-mini-instruct,math500,256,0.6,11
Phi-4-mini-instruct,math500,256,0.7,13
Phi-4-mini-instruct,math500,256,0.8,5
Phi-4-mini-instruct,math500,256,0.9,7
Phi-4-mini-instruct,math500,256,1.0,11
Phi-4-mini-instruct,math500,256,1.1,9
Phi-4-mini-instruct,math500,512,0.1,401
Phi-4-mini-instruct,math500,512,0.2,17
Phi-4-mini-instruct,math500,512,0.3,10
Phi-4-mini-instruct,math500,512,0.4,7
Phi-4-mini-instruct,math500,512,0.5,13
Phi-4-mini-instruct,math500,512,0.6,7
Phi-4-mini-instruct,math500,512,0.7,12
Phi-4-mini-instruct,math500,512,0.8,2
Phi-4-mini-instruct,math500,512,0.9,7
Phi-4-mini-instruct,math500,512,1.0,11
Phi-4-mini-instruct,math500,512,1.1,7
Phi-4-mini-instruct,math500,1024,0.1,413
Phi-4-mini-instruct,math500,1024,0.2,17
Phi-4-mini-instruct,math500,1024,0.3,7
Phi-4-mini-instruct,math500,1024,0.4,11
Phi-4-mini-instruct,math500,1024,0.5,9
Phi-4-mini-instruct,math500,1024,0.6,5
Phi-4-mini-instruct,math500,1024,0.7,10
Phi-4-mini-instruct,math500,1024,0.8,3
Phi-4-mini-instruct,math500,1024,0.9,6
Phi-4-mini-instruct,math500,1024,1.0,9
Phi-4-mini-instruct,math500,1024,1.1,4
Phi-4-mini-instruct,math500,1536,0.1,414
Phi-4-mini-instruct,math500,1536,0.2,19
Phi-4-mini-instruct,math500,1536,0.3,5
Phi-4-mini-instruct,math500,1536,0.4,13
Phi-4-mini-instruct,math500,1536,0.5,9
Phi-4-mini-instruct,math500,1536,0.6,7
Phi-4-mini-instruct,math500,1536,0.7,7
Phi-4-mini-instruct,math500,1536,0.8,2
Phi-4-mini-instruct,math500,1536,0.9,6
Phi-4-mini-instruct,math500,1536,1.0,8
Phi-4-mini-instruct,math500,1536,1.1,4
Phi-4-mini-instruct,math500,2048,0.1,420
Phi-4-mini-instruct,math500,2048,0.2,18
Phi-4-mini-instruct,math500,2048,0.3,3
Phi-4-mini-instruct,math500,2048,0.4,13
Phi-4-mini-instruct,math500,2048,0.5,10
Phi-4-mini-instruct,math500,2048,0.6,5
Phi-4-mini-instruct,math500,2048,0.7,7
Phi-4-mini-instruct,math500,2048,0.8,4
Phi-4-mini-instruct,math500,2048,0.9,4
Phi-4-mini-instruct,math500,2048,1.0,7
Phi-4-mini-instruct,math500,2048,1.1,3
Qwen2.5-3B,aime2023,1,0.1,2
Qwen2.5-3B,aime2023,1,0.2,3
Qwen2.5-3B,aime2023,1,0.3,2
Qwen2.5-3B,aime2023,1,0.4,2
Qwen2.5-3B,aime2023,1,0.5,3
Qwen2.5-3B,aime2023,1,0.7,1
Qwen2.5-3B,aime2023,1,0.8,2
Qwen2.5-3B,aime2023,1,1.0,6
Qwen2.5-3B,aime2023,1,1.1,2
Qwen2.5-3B,aime2023,1,1.2,4
Qwen2.5-3B,aime2023,2,0.1,2
Qwen2.5-3B,aime2023,2,0.2,3
Qwen2.5-3B,aime2023,2,0.3,1
Qwen2.5-3B,aime2023,2,0.4,1
Qwen2.5-3B,aime2023,2,0.5,2
Qwen2.5-3B,aime2023,2,0.6,1
Qwen2.5-3B,aime2023,2,0.7,1
Qwen2.5-3B,aime2023,2,0.8,2
Qwen2.5-3B,aime2023,2,0.9,2
Qwen2.5-3B,aime2023,2,1.0,2
Qwen2.5-3B,aime2023,2,1.1,4
Qwen2.5-3B,aime2023,2,1.2,6
Qwen2.5-3B,aime2023,4,0.1,3
Qwen2.5-3B,aime2023,4,0.2,1
Qwen2.5-3B,aime2023,4,0.4,2
Qwen2.5-3B,aime2023,4,0.5,2
Qwen2.5-3B,aime2023,4,0.8,2
Qwen2.5-3B,aime2023,4,0.9,2
Qwen2.5-3B,aime2023,4,1.0,5
Qwen2.5-3B,aime2023,4,1.1,4
Qwen2.5-3B,aime2023,4,1.2,6
Qwen2.5-3B,aime2023,8,0.1,2
Qwen2.5-3B,aime2023,8,0.2,2
Qwen2.5-3B,aime2023,8,0.4,1
Qwen2.5-3B,aime2023,8,0.5,3
Qwen2.5-3B,aime2023,8,0.8,2
Qwen2.5-3B,aime2023,8,0.9,4
Qwen2.5-3B,aime2023,8,1.0,4
Qwen2.5-3B,aime2023,8,1.1,6
Qwen2.5-3B,aime2023,8,1.2,3
Qwen2.5-3B,aime2023,16,0.1,10
Qwen2.5-3B,aime2023,16,0.3,1
Qwen2.5-3B,aime2023,16,0.4,2
Qwen2.5-3B,aime2023,16,0.8,1
Qwen2.5-3B,aime2023,16,0.9,1
Qwen2.5-3B,aime2023,16,1.0,2
Qwen2.5-3B,aime2023,16,1.1,9
Qwen2.5-3B,aime2023,16,1.2,1
Qwen2.5-3B,aime2023,32,0.1,17
Qwen2.5-3B,aime2023,32,0.8,2
Qwen2.5-3B,aime2023,32,0.9,1
Qwen2.5-3B,aime2023,32,1.0,2
Qwen2.5-3B,aime2023,32,1.1,5
Qwen2.5-3B,aime2023,64,0.1,18
Qwen2.5-3B,aime2023,64,0.9,2
Qwen2.5-3B,aime2023,64,1.0,2
Qwen2.5-3B,aime2023,64,1.1,5
Qwen2.5-3B,aime2023,128,0.1,22
Qwen2.5-3B,aime2023,128,0.9,2
Qwen2.5-3B,aime2023,128,1.1,3
Qwen2.5-3B,aime2023,256,0.1,23
Qwen2.5-3B,aime2023,256,0.9,2
Qwen2.5-3B,aime2023,256,1.1,2
Qwen2.5-3B,aime2023,512,0.1,24
Qwen2.5-3B,aime2023,512,0.9,2
Qwen2.5-3B,aime2023,512,1.1,1
Qwen2.5-3B,aime2023,1024,0.1,25
Qwen2.5-3B,aime2023,1024,0.8,1
Qwen2.5-3B,aime2023,1024,0.9,1
Qwen2.5-3B,aime2023,1536,0.1,27
Qwen2.5-3B,aime2023,2048,0.1,27
Qwen2.5-3B,aime2024,1,0.1,2
Qwen2.5-3B,aime2024,1,0.2,5
Qwen2.5-3B,aime2024,1,0.3,3
Qwen2.5-3B,aime2024,1,0.4,3
Qwen2.5-3B,aime2024,1,0.5,4
Qwen2.5-3B,aime2024,1,0.7,2
Qwen2.5-3B,aime2024,1,0.8,2
Qwen2.5-3B,aime2024,1,0.9,2
Qwen2.5-3B,aime2024,1,1.0,2
Qwen2.5-3B,aime2024,1,1.1,2
Qwen2.5-3B,aime2024,2,0.1,2
Qwen2.5-3B,aime2024,2,0.2,5
Qwen2.5-3B,aime2024,2,0.3,2
Qwen2.5-3B,aime2024,2,0.4,3
Qwen2.5-3B,aime2024,2,0.5,2
Qwen2.5-3B,aime2024,2,0.6,2
Qwen2.5-3B,aime2024,2,0.7,2
Qwen2.5-3B,aime2024,2,0.9,2
Qwen2.5-3B,aime2024,2,1.0,3
Qwen2.5-3B,aime2024,2,1.1,2
Qwen2.5-3B,aime2024,2,1.2,2
Qwen2.5-3B,aime2024,4,0.1,3
Qwen2.5-3B,aime2024,4,0.2,3
Qwen2.5-3B,aime2024,4,0.3,2
Qwen2.5-3B,aime2024,4,0.4,3
Qwen2.5-3B,aime2024,4,0.5,2
Qwen2.5-3B,aime2024,4,0.6,1
Qwen2.5-3B,aime2024,4,0.7,2
Qwen2.5-3B,aime2024,4,0.9,1
Qwen2.5-3B,aime2024,4,1.0,5
Qwen2.5-3B,aime2024,4,1.1,4
Qwen2.5-3B,aime2024,4,1.2,1
Qwen2.5-3B,aime2024,8,0.1,2
Qwen2.5-3B,aime2024,8,0.2,4
Qwen2.5-3B,aime2024,8,0.3,1
Qwen2.5-3B,aime2024,8,0.4,2
Qwen2.5-3B,aime2024,8,0.5,1
Qwen2.5-3B,aime2024,8,0.6,3
Qwen2.5-3B,aime2024,8,0.7,1
Qwen2.5-3B,aime2024,8,0.8,1
Qwen2.5-3B,aime2024,8,0.9,2
Qwen2.5-3B,aime2024,8,1.0,6
Qwen2.5-3B,aime2024,8,1.1,4
Qwen2.5-3B,aime2024,16,0.1,2
Qwen2.5-3B,aime2024,16,0.2,5
Qwen2.5-3B,aime2024,16,0.4,2
Qwen2.5-3B,aime2024,16,0.5,1
Qwen2.5-3B,aime2024,16,0.6,2
Qwen2.5-3B,aime2024,16,0.7,1
Qwen2.5-3B,aime2024,16,0.8,3
Qwen2.5-3B,aime2024,16,0.9,3
Qwen2.5-3B,aime2024,16,1.0,5
Qwen2.5-3B,aime2024,16,1.1,3
Qwen2.5-3B,aime2024,32,0.1,8
Qwen2.5-3B,aime2024,32,0.2,5
Qwen2.5-3B,aime2024,32,0.4,2
Qwen2.5-3B,aime2024,32,0.5,1
Qwen2.5-3B,aime2024,32,0.6,1
Qwen2.5-3B,aime2024,32,0.7,2
Qwen2.5-3B,aime2024,32,0.8,3
Qwen2.5-3B,aime2024,32,1.0,3
Qwen2.5-3B,aime2024,32,1.1,1
Qwen2.5-3B,aime2024,32,1.2,1
Qwen2.5-3B,aime2024,64,0.1,13
Qwen2.5-3B,aime2024,64,0.2,4
Qwen2.5-3B,aime2024,64,0.4,1
Qwen2.5-3B,aime2024,64,0.5,2
Qwen2.5-3B,aime2024,64,0.7,2
Qwen2.5-3B,aime2024,64,0.8,1
Qwen2.5-3B,aime2024,64,0.9,1
Qwen2.5-3B,aime2024,64,1.0,3
Qwen2.5-3B,aime2024,128,0.1,19
Qwen2.5-3B,aime2024,128,0.2,3
Qwen2.5-3B,aime2024,128,0.4,1
Qwen2.5-3B,aime2024,128,0.5,1
Qwen2.5-3B,aime2024,128,0.7,1
Qwen2.5-3B,aime2024,128,1.0,2
Qwen2.5-3B,aime2024,256,0.1,22
Qwen2.5-3B,aime2024,256,0.2,3
Qwen2.5-3B,aime2024,256,0.5,1
Qwen2.5-3B,aime2024,256,0.7,1
Qwen2.5-3B,aime2024,512,0.1,22
Qwen2.5-3B,aime2024,512,0.2,3
Qwen2.5-3B,aime2024,512,0.5,1
Qwen2.5-3B,aime2024,512,0.7,1
Qwen2.5-3B,aime2024,1024,0.1,22
Qwen2.5-3B,aime2024,1024,0.2,3
