model,dataset,N,T_star,n_problems
Llama-3.2-3B,gsm8kfull,256,0.7,13
Llama-3.2-3B,gsm8kfull,256,0.8,9
Llama-3.2-3B,gsm8kfull,256,0.9,28
Llama-3.2-3B,gsm8kfull,256,1.0,28
Llama-3.2-3B,gsm8kfull,256,1.1,33
Llama-3.2-3B,gsm8kfull,256,1.2,13
Llama-3.2-3B,gsm8kfull,512,0.1,1120
Llama-3.2-3B,gsm8kfull,512,0.2,36
Llama-3.2-3B,gsm8kfull,512,0.3,30
Llama-3.2-3B,gsm8kfull,512,0.4,14
Llama-3.2-3B,gsm8kfull,512,0.5,14
Llama-3.2-3B,gsm8kfull,512,0.6,14
Llama-3.2-3B,gsm8kfull,512,0.7,8
Llama-3.2-3B,gsm8kfull,512,0.8,7
Llama-3.2-3B,gsm8kfull,512,0.9,19
Llama-3.2-3B,gsm8kfull,512,1.0,20
Llama-3.2-3B,gsm8kfull,512,1.1,23
Llama-3.2-3B,gsm8kfull,512,1.2,13
Llama-3.2-3B,gsm8kfull,1024,0.1,1139
Llama-3.2-3B,gsm8kfull,1024,0.2,41
Llama-3.2-3B,gsm8kfull,1024,0.3,24
Llama-3.2-3B,gsm8kfull,1024,0.4,15
Llama-3.2-3B,gsm8kfull,1024,0.5,14
Llama-3.2-3B,gsm8kfull,1024,0.6,12
Llama-3.2-3B,gsm8kfull,1024,0.7,10
Llama-3.2-3B,gsm8kfull,1024,0.8,6
Llama-3.2-3B,gsm8kfull,1024,0.9,21
Llama-3.2-3B,gsm8kfull,1024,1.0,13
Llama-3.2-3B,gsm8kfull,1024,1.1,16
Llama-3.2-3B,gsm8kfull,1024,1.2,7
Llama-3.2-3B,gsm8kfull,1536,0.1,1148
Llama-3.2-3B,gsm8kfull,1536,0.2,39
Llama-3.2-3B,gsm8kfull,1536,0.3,23
Llama-3.2-3B,gsm8kfull,1536,0.4,17
Llama-3.2-3B,gsm8kfull,1536,0.5,14
Llama-3.2-3B,gsm8kfull,1536,0.6,9
Llama-3.2-3B,gsm8kfull,1536,0.7,10
Llama-3.2-3B,gsm8kfull,1536,0.8,7
Llama-3.2-3B,gsm8kfull,1536,0.9,21
Llama-3.2-3B,gsm8kfull,1536,1.0,10
Llama-3.2-3B,gsm8kfull,1536,1.1,13
Llama-3.2-3B,gsm8kfull,1536,1.2,7
Llama-3.2-3B,gsm8kfull,2048,0.1,1151
Llama-3.2-3B,gsm8kfull,2048,0.2,39
Llama-3.2-3B,gsm8kfull,2048,0.3,25
Llama-3.2-3B,gsm8kfull,2048,0.4,16
Llama-3.2-3B,gsm8kfull,2048,0.5,13
Llama-3.2-3B,gsm8kfull,2048,0.6,11
Llama-3.2-3B,gsm8kfull,2048,0.7,11
Llama-3.2-3B,gsm8kfull,2048,0.8,6
Llama-3.2-3B,gsm8kfull,2048,0.9,19
Llama-3.2-3B,gsm8kfull,2048,1.0,9
Llama-3.2-3B,gsm8kfull,2048,1.1,12
Llama-3.2-3B,gsm8kfull,2048,1.2,6
Llama-3.2-3B,mathfull,1,0.1,2218
Llama-3.2-3B,mathfull,1,0.2,352
Llama-3.2-3B,mathfull,1,0.3,297
Llama-3.2-3B,mathfull,1,0.4,289
