model,dataset,N,strategy_a,strategy_b,delta_mean,delta_std,delta_p25,delta_median,delta_p75,n_problems,wins_a,ties,wins_b,wilcoxon_p,adj_p_value
Phi-4-mini-instruct,aime2025,64,T1.0,consensus_vote,-0.00015448717956747618,0.0006343773454904957,0.0,0.0,0.0,26,0,26,0,0.10880943004054568,0.1360117875506821
Phi-4-mini-instruct,aime2025,64,equal_mix,consensus_vote,-1.2179487179487173e-05,0.00032185426972493455,0.0,0.0,0.0,26,0,26,0,1.0,1.0
Phi-4-mini-instruct,aime2025,64,T1.0,best_fixed_T,-0.009524487307666836,0.04321325126716635,0.0,0.0,0.0,26,0,24,2,0.06788915486182899,0.1360117875506821
Phi-4-mini-instruct,aime2025,64,equal_mix,best_fixed_T,-0.009382179615278848,0.04287698010011351,0.0,0.0,0.0,26,0,24,2,0.06788915486182899,0.1360117875506821
Phi-4-mini-instruct,aime2025,128,T1.0,equal_mix,-7.692307692307692e-06,3.92232270276368e-05,0.0,0.0,0.0,26,0,26,0,0.31731050786291415,0.31731050786291415
Phi-4-mini-instruct,aime2025,128,T1.0,consensus_vote,-7.628205128205129e-05,0.0002694922417734291,0.0,0.0,0.0,26,0,26,0,0.17971249487899976,0.2246406185987497
Phi-4-mini-instruct,aime2025,128,equal_mix,consensus_vote,-6.858974358974359e-05,0.00024369046500641493,0.0,0.0,0.0,26,0,26,0,0.17971249487899976,0.2246406185987497
Phi-4-mini-instruct,aime2025,128,T1.0,best_fixed_T,-0.007741026065419787,0.03842168734257407,0.0,0.0,0.0,26,0,25,1,0.10880943004054568,0.2246406185987497
Phi-4-mini-instruct,aime2025,128,equal_mix,best_fixed_T,-0.007733333757727478,0.038382474989088124,0.0,0.0,0.0,26,0,25,1,0.10880943004054568,0.2246406185987497
Phi-4-mini-instruct,aime2025,256,T1.0,equal_mix,0.0,0.0,0.0,0.0,0.0,26,0,26,0,1.0,1.0
Phi-4-mini-instruct,aime2025,256,T1.0,consensus_vote,-1.1538461538461538e-05,5.883484054145522e-05,0.0,0.0,0.0,26,0,26,0,0.31731050786291415,0.3966381348286427
Phi-4-mini-instruct,aime2025,256,equal_mix,consensus_vote,-1.1538461538461538e-05,5.883484054145522e-05,0.0,0.0,0.0,26,0,26,0,0.31731050786291415,0.3966381348286427
Phi-4-mini-instruct,aime2025,256,T1.0,best_fixed_T,-0.005489743672884428,0.02799231011266022,0.0,0.0,0.0,26,0,25,1,0.31731050786291415,0.3966381348286427
Phi-4-mini-instruct,aime2025,256,equal_mix,best_fixed_T,-0.005489743672884428,0.02799231011266022,0.0,0.0,0.0,26,0,25,1,0.31731050786291415,0.3966381348286427
Phi-4-mini-instruct,aime2025,512,T1.0,equal_mix,0.0,0.0,0.0,0.0,0.0,26,0,26,0,1.0,1.0
Phi-4-mini-instruct,aime2025,512,T1.0,consensus_vote,0.0,0.0,0.0,0.0,0.0,26,0,26,0,1.0,1.0
Phi-4-mini-instruct,aime2025,512,equal_mix,consensus_vote,0.0,0.0,0.0,0.0,0.0,26,0,26,0,1.0,1.0
Phi-4-mini-instruct,aime2025,512,T1.0,best_fixed_T,-0.0027243592418157137,0.013891560936055166,0.0,0.0,0.0,26,0,25,1,0.31731050786291415,0.7932762696572854
Phi-4-mini-instruct,aime2025,512,equal_mix,best_fixed_T,-0.0027243592418157137,0.013891560936055166,0.0,0.0,0.0,26,0,25,1,0.31731050786291415,0.7932762696572854
Phi-4-mini-instruct,aime2025,1024,T1.0,equal_mix,0.0,0.0,0.0,0.0,0.0,26,0,26,0,1.0,1.0
Phi-4-mini-instruct,aime2025,1024,T1.0,consensus_vote,-3.846153846153846e-06,1.96116135138184e-05,0.0,0.0,0.0,26,0,26,0,0.31731050786291415,0.3966381348286427
Phi-4-mini-instruct,aime2025,1024,equal_mix,consensus_vote,-3.846153846153846e-06,1.96116135138184e-05,0.0,0.0,0.0,26,0,26,0,0.31731050786291415,0.3966381348286427
Phi-4-mini-instruct,aime2025,1024,T1.0,best_fixed_T,-0.0007615384574119861,0.0038830994546950656,0.0,0.0,0.0,26,0,25,1,0.31731050786291415,0.3966381348286427
Phi-4-mini-instruct,aime2025,1024,equal_mix,best_fixed_T,-0.0007615384574119861,0.0038830994546950656,0.0,0.0,0.0,26,0,25,1,0.31731050786291415,0.3966381348286427
Phi-4-mini-instruct,aime2025,1536,T1.0,equal_mix,0.0,0.0,0.0,0.0,0.0,26,0,26,0,1.0,1.0
Phi-4-mini-instruct,aime2025,1536,T1.0,consensus_vote,0.0,0.0,0.0,0.0,0.0,26,0,26,0,1.0,1.0
Phi-4-mini-instruct,aime2025,1536,equal_mix,consensus_vote,0.0,0.0,0.0,0.0,0.0,26,0,26,0,1.0,1.0
Phi-4-mini-instruct,aime2025,1536,T1.0,best_fixed_T,-0.00021923077292740345,0.001117861989136859,0.0,0.0,0.0,26,0,26,0,0.31731050786291415,0.7932762696572854
Phi-4-mini-instruct,aime2025,1536,equal_mix,best_fixed_T,-0.00021923077292740345,0.001117861989136859,0.0,0.0,0.0,26,0,26,0,0.31731050786291415,0.7932762696572854
Phi-4-mini-instruct,aime2025,2048,T1.0,equal_mix,0.0,0.0,0.0,0.0,0.0,26,0,26,0,1.0,1.0
Phi-4-mini-instruct,aime2025,2048,T1.0,consensus_vote,0.0,0.0,0.0,0.0,0.0,26,0,26,0,1.0,1.0
Phi-4-mini-instruct,aime2025,2048,equal_mix,consensus_vote,0.0,0.0,0.0,0.0,0.0,26,0,26,0,1.0,1.0
Phi-4-mini-instruct,aime2025,2048,T1.0,best_fixed_T,-8.076922788929481e-05,0.0004118438691053368,0.0,0.0,0.0,26,0,26,0,0.31731050786291415,0.7932762696572854
Phi-4-mini-instruct,aime2025,2048,equal_mix,best_fixed_T,-8.076922788929481e-05,0.0004118438691053368,0.0,0.0,0.0,26,0,26,0,0.31731050786291415,0.7932762696572854
Phi-4-mini-instruct,aime2026,1,T1.0,equal_mix,-0.00047499967606272575,0.012923562972025102,-0.0004499981777742514,0.0,0.0016500000997446479,24,1,21,2,0.9547075542182767,1.0
Phi-4-mini-instruct,aime2026,1,T1.0,consensus_vote,-0.00047499967606272575,0.012923562972025102,-0.0004499981777742514,0.0,0.0016500000997446479,24,1,21,2,0.9547075542182767,1.0
Phi-4-mini-instruct,aime2026,1,equal_mix,consensus_vote,0.0,0.0,0.0,0.0,0.0,24,0,24,0,1.0,1.0
Phi-4-mini-instruct,aime2026,1,T1.0,best_fixed_T,-0.009874999654130079,0.026144201799189908,-0.002300000167451799,0.0,0.0,24,0,21,3,0.050011746602489006,0.250058733012445
Phi-4-mini-instruct,aime2026,1,equal_mix,best_fixed_T,-0.009399999978067354,0.02669075707292228,-0.0030999999726191163,0.0,0.0,24,0,21,3,0.1094211588192293,0.27355289704807323
Phi-4-mini-instruct,aime2026,2,T1.0,equal_mix,-0.0012916667726666983,0.009090556150969969,-0.0011250000000000001,0.0,0.001950000081025064,24,1,20,3,0.981116590883351,1.0
Phi-4-mini-instruct,aime2026,2,T1.0,consensus_vote,-0.0012916667726666983,0.009090556150969969,-0.0011250000000000001,0.0,0.001950000081025064,24,1,20,3,0.981116590883351,1.0
Phi-4-mini-instruct,aime2026,2,equal_mix,consensus_vote,0.0,0.0,0.0,0.0,0.0,24,0,24,0,1.0,1.0
Phi-4-mini-instruct,aime2026,2,T1.0,best_fixed_T,-0.00938333320179178,0.02540795242307866,-0.0016750000067986548,0.0,0.0,24,0,21,3,0.11176874513967605,0.27942186284919013
Phi-4-mini-instruct,aime2026,2,equal_mix,best_fixed_T,-0.008091666429125084,0.021661484311060665,-0.003074999872222543,0.0,0.000175,24,0,21,3,0.09798930270791739,0.27942186284919013
Phi-4-mini-instruct,aime2026,4,T1.0,equal_mix,-0.006480554917219301,0.01870730969882398,-0.0010124998752959072,0.0,0.0013999999824445696,24,0,20,4,0.6191537066890378,0.7739421333612972
Phi-4-mini-instruct,aime2026,4,T1.0,consensus_vote,-0.006480554917219301,0.01870730969882398,-0.0010124998752959072,0.0,0.0013999999824445696,24,0,20,4,0.6191537066890378,0.7739421333612972
Phi-4-mini-instruct,aime2026,4,equal_mix,consensus_vote,0.0,0.0,0.0,0.0,0.0,24,0,24,0,1.0,1.0
Phi-4-mini-instruct,aime2026,4,T1.0,best_fixed_T,-0.013461109669151483,0.03616234025156327,-0.0021083333413116634,-5.000014789402485e-05,0.0,24,0,21,3,0.046826465481518996,0.17094139881093307
Phi-4-mini-instruct,aime2026,4,equal_mix,best_fixed_T,-0.006980554751932182,0.01858710533039979,-0.0029416668697260324,0.0,6.250000623986126e-05,24,0,21,3,0.06837655952437323,0.17094139881093307
Phi-4-mini-instruct,aime2026,8,T1.0,equal_mix,-0.013343313402527706,0.03653367155116009,-0.00015833333333333332,0.0,0.00021440479573045322,24,0,21,3,0.5277266198659963,0.6596582748324954
Phi-4-mini-instruct,aime2026,8,T1.0,consensus_vote,-0.013343313402527706,0.03653367155116009,-0.00015833333333333332,0.0,0.00021440479573045322,24,0,21,3,0.5277266198659963,0.6596582748324954
Phi-4-mini-instruct,aime2026,8,equal_mix,consensus_vote,0.0,0.0,0.0,0.0,0.0,24,0,24,0,1.0,1.0
Phi-4-mini-instruct,aime2026,8,T1.0,best_fixed_T,-0.021413333494213777,0.05882322318166123,-0.0007776787388138473,0.0,0.0,24,0,21,3,0.0534743671544843,0.19433057129704337
Phi-4-mini-instruct,aime2026,8,equal_mix,best_fixed_T,-0.008070020091686073,0.02241776795244285,-0.0005538690269921374,-4.1666692646685976e-06,7.142857142857143e-06,24,0,21,3,0.07773222851881735,0.19433057129704337
Phi-4-mini-instruct,aime2026,16,T1.0,equal_mix,-0.00701921338154695,0.021794021681616305,-2.9761904298668792e-06,0.0,0.0,24,0,21,3,0.32806478170083675,0.41008097712604596
Phi-4-mini-instruct,aime2026,16,T1.0,consensus_vote,0.0014095383990798307,0.005273514339182171,0.0,0.0,3.333333370392211e-05,24,1,23,0,0.4235963177660037,0.4235963177660037
Phi-4-mini-instruct,aime2026,16,equal_mix,consensus_vote,0.008428751780626782,0.02405847831060325,0.0,0.0,0.0,24,3,21,0,0.1386406338132186,0.23106772302203096
Phi-4-mini-instruct,aime2026,16,T1.0,best_fixed_T,-0.028578500998492018,0.0801111358184909,-3.048868666155613e-05,0.0,0.0,24,0,21,3,0.1306650895957666,0.23106772302203096
Phi-4-mini-instruct,aime2026,16,equal_mix,best_fixed_T,-0.021559287616945064,0.05917560843584958,-0.0001106138366449159,0.0,0.0,24,0,21,3,0.020879263166351643,0.10439631583175821
Phi-4-mini-instruct,aime2026,32,T1.0,equal_mix,-0.011419721633576685,0.04319721697168433,0.0,0.0,0.0,24,0,21,3,0.10880943004054568,0.10880943004054569
Phi-4-mini-instruct,aime2026,32,T1.0,consensus_vote,0.006686528366423316,0.02173963421268487,0.0,0.0,0.0,24,3,21,0,0.10880943004054568,0.10880943004054569
Phi-4-mini-instruct,aime2026,32,equal_mix,consensus_vote,0.01810625,0.06446382478271007,0.0,0.0,0.0,24,3,21,0,0.10880943004054568,0.10880943004054569
Phi-4-mini-instruct,aime2026,32,T1.0,best_fixed_T,-0.038904663740443844,0.11269870373301481,0.0,0.0,0.0,24,0,21,3,0.06788915486182899,0.10880943004054569
Phi-4-mini-instruct,aime2026,32,equal_mix,best_fixed_T,-0.027484942106867156,0.07508429575818493,0.0,0.0,0.0,24,0,21,3,0.06788915486182899,0.10880943004054569
Phi-4-mini-instruct,aime2026,64,T1.0,equal_mix,-0.011629582383607824,0.05322680200578249,0.0,0.0,0.0,24,0,22,2,0.10880943004054568,0.18134905006757615
Phi-4-mini-instruct,aime2026,64,T1.0,consensus_vote,0.0014337509497255087,0.010307410445375106,0.0,0.0,0.0,24,1,23,0,1.0,1.0
Phi-4-mini-instruct,aime2026,64,equal_mix,consensus_vote,0.013063333333333335,0.06321876602542774,0.0,0.0,0.0,24,1,23,0,0.28504940740261275,0.35631175925326597
Phi-4-mini-instruct,aime2026,64,T1.0,best_fixed_T,-0.04389860876835883,0.1341676563337792,0.0,0.0,0.0,24,0,21,3,0.10880943004054568,0.18134905006757615
Phi-4-mini-instruct,aime2026,64,equal_mix,best_fixed_T,-0.03226902638475101,0.09902011942189044,0.0,0.0,0.0,24,0,21,3,0.10880943004054568,0.18134905006757615
Phi-4-mini-instruct,aime2026,128,T1.0,equal_mix,-0.015909027765693865,0.07692021125598453,0.0,0.0,0.0,24,0,23,1,0.10880943004054568,0.1360117875506821
Phi-4-mini-instruct,aime2026,128,T1.0,consensus_vote,-0.0066181944323605345,0.028297538313225002,0.0,0.0,0.0,24,0,22,2,0.10880943004054568,0.1360117875506821
Phi-4-mini-instruct,aime2026,128,equal_mix,consensus_vote,0.00929083333333333,0.04881328863231248,0.0,0.0,0.0,24,1,22,1,1.0,1.0
Phi-4-mini-instruct,aime2026,128,T1.0,best_fixed_T,-0.046040278369522035,0.1526754439869164,0.0,0.0,0.0,24,0,21,3,0.10880943004054568,0.1360117875506821
Phi-4-mini-instruct,aime2026,128,equal_mix,best_fixed_T,-0.03013125060382817,0.09715134636561715,0.0,0.0,0.0,24,0,21,3,0.10880943004054568,0.1360117875506821
Phi-4-mini-instruct,aime2026,256,T1.0,equal_mix,-0.020079166073269313,0.09836742268022633,0.0,0.0,0.0,24,0,23,1,0.31731050786291415,0.3966381348286427
Phi-4-mini-instruct,aime2026,256,T1.0,consensus_vote,-0.014765277184380426,0.07064842205586293,0.0,0.0,0.0,24,0,23,1,0.10880943004054568,0.18134905006757615
Phi-4-mini-instruct,aime2026,256,equal_mix,consensus_vote,0.005313888888888888,0.02775632567788603,0.0,0.0,0.0,24,1,23,0,1.0,1.0
Phi-4-mini-instruct,aime2026,256,T1.0,best_fixed_T,-0.047326389234513044,0.16930859770126586,0.0,0.0,0.0,24,0,21,3,0.10880943004054568,0.18134905006757615
Phi-4-mini-instruct,aime2026,256,equal_mix,best_fixed_T,-0.02724722316124373,0.09103550088470953,0.0,0.0,0.0,24,0,21,3,0.10880943004054568,0.18134905006757615
Phi-4-mini-instruct,aime2026,512,T1.0,equal_mix,-0.026976388787892127,0.13215677526654576,0.0,0.0,0.0,24,0,23,1,0.31731050786291415,0.3966381348286427
Phi-4-mini-instruct,aime2026,512,T1.0,consensus_vote,-0.02556736101011435,0.12504108864365712,0.0,0.0,0.0,24,0,23,1,0.10880943004054568,0.18134905006757615
Phi-4-mini-instruct,aime2026,512,equal_mix,consensus_vote,0.0014090277777777753,0.007117741627341555,0.0,0.0,0.0,24,1,23,0,1.0,1.0
Phi-4-mini-instruct,aime2026,512,T1.0,best_fixed_T,-0.047931945220625494,0.18007336955025646,0.0,0.0,0.0,24,0,22,2,0.10880943004054568,0.18134905006757615
Phi-4-mini-instruct,aime2026,512,equal_mix,best_fixed_T,-0.020955556432733367,0.07304247223831518,0.0,0.0,0.0,24,0,22,2,0.10880943004054568,0.18134905006757615
Phi-4-mini-instruct,aime2026,1024,T1.0,equal_mix,-0.03214027746766806,0.15745455997451643,0.0,0.0,0.0,24,0,23,1,0.31731050786291415,0.31731050786291415
Phi-4-mini-instruct,aime2026,1024,T1.0,consensus_vote,-0.03414305524544583,0.16726612722199788,0.0,0.0,0.0,24,0,23,1,0.31731050786291415,0.31731050786291415
Phi-4-mini-instruct,aime2026,1024,equal_mix,consensus_vote,-0.0020027777777777748,0.00981156724748149,0.0,0.0,0.0,24,0,23,1,0.31731050786291415,0.31731050786291415
Phi-4-mini-instruct,aime2026,1024,T1.0,best_fixed_T,-0.04766527842730284,0.18736230997689565,0.0,0.0,0.0,24,0,22,2,0.17971249487899976,0.31731050786291415
Phi-4-mini-instruct,aime2026,1024,equal_mix,best_fixed_T,-0.01552500095963478,0.05583176167949409,0.0,0.0,0.0,24,0,22,2,0.17971249487899976,0.31731050786291415
Phi-4-mini-instruct,aime2026,1536,T1.0,equal_mix,-0.0353972224449118,0.17341026660365189,0.0,0.0,0.0,24,0,23,1,0.31731050786291415,0.31731050786291415
Phi-4-mini-instruct,aime2026,1536,T1.0,consensus_vote,-0.037529861333800686,0.18385802077043956,0.0,0.0,0.0,24,0,23,1,0.31731050786291415,0.31731050786291415
Phi-4-mini-instruct,aime2026,1536,equal_mix,consensus_vote,-0.0021326388888888853,0.010447754166787676,0.0,0.0,0.0,24,0,23,1,0.31731050786291415,0.31731050786291415
Phi-4-mini-instruct,aime2026,1536,T1.0,best_fixed_T,-0.046751388969520725,0.19221957472306556,0.0,0.0,0.0,24,0,22,2,0.17971249487899976,0.31731050786291415
Phi-4-mini-instruct,aime2026,1536,equal_mix,best_fixed_T,-0.01135416652460893,0.041798438889922955,0.0,0.0,0.0,24,0,22,2,0.17971249487899976,0.31731050786291415
Phi-4-mini-instruct,aime2026,2048,T1.0,equal_mix,-0.03786666670516133,0.18550802337536396,0.0,0.0,0.0,24,0,23,1,0.31731050786291415,0.31731050786291415
Phi-4-mini-instruct,aime2026,2048,T1.0,consensus_vote,-0.039304166705161334,0.1925503063858656,0.0,0.0,0.0,24,0,23,1,0.31731050786291415,0.31731050786291415
Phi-4-mini-instruct,aime2026,2048,equal_mix,consensus_vote,-0.0014374999999999989,0.0070422830105016316,0.0,0.0,0.0,24,0,23,1,0.31731050786291415,0.31731050786291415
Phi-4-mini-instruct,aime2026,2048,T1.0,best_fixed_T,-0.0462333334920307,0.19602858660650457,0.0,0.0,0.0,24,0,22,2,0.17971249487899976,0.31731050786291415
Phi-4-mini-instruct,aime2026,2048,equal_mix,best_fixed_T,-0.008366666786869365,0.03261399684847583,0.0,0.0,0.0,24,0,22,2,0.17971249487899976,0.31731050786291415
Phi-4-mini-instruct,gsm8kfull,1,T1.0,equal_mix,-0.0720931013586063,0.184508426126831,-0.13729999918937685,-0.07520002126693726,-0.030400007963180542,1319,200,32,1087,1.0173792154882614e-84,2.3185209908323356e-84
Phi-4-mini-instruct,gsm8kfull,1,T1.0,consensus_vote,-0.0720931013586063,0.184508426126831,-0.13729999918937685,-0.07520002126693726,-0.030400007963180542,1319,200,32,1087,1.0173792154882614e-84,2.3185209908323356e-84
Phi-4-mini-instruct,gsm8kfull,1,equal_mix,consensus_vote,0.0,0.0,0.0,0.0,0.0,1319,0,1319,0,1.0,1.0
Phi-4-mini-instruct,gsm8kfull,1,T1.0,best_fixed_T,-0.07206459557393974,0.18440892486209776,-0.13650000095367432,-0.07599997520446777,-0.030699998140335083,1319,202,29,1088,1.3911125944994012e-84,2.3185209908323356e-84
Phi-4-mini-instruct,gsm8kfull,1,equal_mix,best_fixed_T,2.8505784666575963e-05,0.003943798162732963,-0.00019998512268065705,0.0,0.00019998440742491352,1319,33,1263,23,0.9882725570968001,1.0
Phi-4-mini-instruct,gsm8kfull,2,T1.0,equal_mix,-0.06570621647474958,0.17214730897924058,-0.12435000634193422,-0.0690000057220459,-0.02829999561309815,1319,211,28,1080,1.740667650927617e-80,4.351669127319043e-80
Phi-4-mini-instruct,gsm8kfull,2,T1.0,consensus_vote,-0.06570621647474958,0.17214730897924058,-0.12435000634193422,-0.0690000057220459,-0.02829999561309815,1319,211,28,1080,1.740667650927617e-80,4.351669127319043e-80
Phi-4-mini-instruct,gsm8kfull,2,equal_mix,consensus_vote,0.0,0.0,0.0,0.0,0.0,1319,0,1319,0,1.0,1.0
Phi-4-mini-instruct,gsm8kfull,2,T1.0,best_fixed_T,-0.06633722505416938,0.1846698210612457,-0.12970000505447388,-0.0723000168800354,-0.029949992895126343,1319,207,29,1083,1.858226748125722e-79,3.097044580209537e-79
Phi-4-mini-instruct,gsm8kfull,2,equal_mix,best_fixed_T,-0.0006310085794197873,0.022259613862546657,-0.004600029230117764,-0.00029999999999996696,0.0,1319,152,947,220,4.89367736475393e-19,6.117096705942412e-19
Phi-4-mini-instruct,gsm8kfull,4,T1.0,equal_mix,-0.004897001444215304,0.15798449418595906,-0.025900004768371565,-0.005749980831146195,-0.000599980354309082,1319,214,553,552,4.010842157098937e-44,6.684736928498228e-44
Phi-4-mini-instruct,gsm8kfull,4,T1.0,consensus_vote,-0.004897001444215304,0.15798449418595906,-0.025900004768371565,-0.005749980831146195,-0.000599980354309082,1319,214,553,552,4.010842157098937e-44,6.684736928498228e-44
Phi-4-mini-instruct,gsm8kfull,4,equal_mix,consensus_vote,0.0,0.0,0.0,0.0,0.0,1319,0,1319,0,1.0,1.0
Phi-4-mini-instruct,gsm8kfull,4,T1.0,best_fixed_T,-0.009768761953891732,0.06559952369289444,-0.014225006103515625,-0.004183351993560791,-0.0004000067710876465,1319,155,731,433,1.1827394910096815e-61,5.9136974550484075e-61
Phi-4-mini-instruct,gsm8kfull,4,equal_mix,best_fixed_T,-0.004871760509676429,0.1279289670954173,0.0,0.0010499954223632812,0.010933274555206318,1319,343,765,211,2.4519253895755536e-23,3.064906736969442e-23
Phi-4-mini-instruct,gsm8kfull,8,T1.0,equal_mix,0.0029387730541771987,0.1216313408390437,-0.002100007438659679,-0.00010001659393310547,0.0,1319,170,970,179,1.5570339979598363e-15,2.595056663266394e-15
Phi-4-mini-instruct,gsm8kfull,8,T1.0,consensus_vote,0.0029387730541771987,0.1216313408390437,-0.002100007438659679,-0.00010001659393310547,0.0,1319,170,970,179,1.5570339979598363e-15,2.595056663266394e-15
Phi-4-mini-instruct,gsm8kfull,8,equal_mix,consensus_vote,0.0,0.0,0.0,0.0,0.0,1319,0,1319,0,1.0,1.0
Phi-4-mini-instruct,gsm8kfull,8,T1.0,best_fixed_T,-0.0021248773155066077,0.05369749274982563,-0.0013000071048736572,-0.00010001659393310547,0.0,1319,101,1080,138,2.0082084428381195e-22,1.0041042214190598e-21
Phi-4-mini-instruct,gsm8kfull,8,equal_mix,best_fixed_T,-0.005063650369683807,0.09849611719583291,0.0,0.0,0.0006666484832764108,1319,127,1031,161,0.00027662374258374253,0.00034577967822967815
Phi-4-mini-instruct,gsm8kfull,16,T1.0,equal_mix,0.004920628449426744,0.12528947339721158,0.0,0.0,0.0,1319,123,1112,84,0.3811856597370843,0.5505490388801425
Phi-4-mini-instruct,gsm8kfull,16,T1.0,consensus_vote,0.00700862797496228,0.11041700654227447,0.0,0.0,0.0,1319,122,1117,80,0.440439231104114,0.5505490388801425
Phi-4-mini-instruct,gsm8kfull,16,equal_mix,consensus_vote,0.002087999525535538,0.05716747182696251,0.0,0.0,0.0,1319,72,1174,73,0.5917102934533925,0.5917102934533925
Phi-4-mini-instruct,gsm8kfull,16,T1.0,best_fixed_T,-3.095545757756448e-05,0.0578885236582023,0.0,0.0,0.0,1319,80,1167,72,0.18320288743427626,0.45800721858569066
Phi-4-mini-instruct,gsm8kfull,16,equal_mix,best_fixed_T,-0.0049515839070043074,0.1040357870191871,0.0,0.0,0.0,1319,58,1143,118,0.001564762394745556,0.00782381197372778
Phi-4-mini-instruct,gsm8kfull,32,T1.0,equal_mix,0.006087223515992801,0.11512740405867437,0.0,0.0,0.0,1319,94,1174,51,0.001103416714616285,0.0018390278576938084
Phi-4-mini-instruct,gsm8kfull,32,T1.0,consensus_vote,0.00852342620135394,0.12164196247139886,0.0,0.0,0.0,1319,98,1172,49,1.0285979380911726e-05,5.142989690455863e-05
Phi-4-mini-instruct,gsm8kfull,32,equal_mix,consensus_vote,0.0024362026853611382,0.04184191955910924,0.0,0.0,0.0,1319,64,1210,45,0.010883661924951247,0.013604577406189058
Phi-4-mini-instruct,gsm8kfull,32,T1.0,best_fixed_T,0.0,0.0,0.0,0.0,0.0,1319,0,1319,0,1.0,1.0
Phi-4-mini-instruct,gsm8kfull,32,equal_mix,best_fixed_T,-0.006087223515992801,0.11512740405867437,0.0,0.0,0.0,1319,51,1174,94,0.001103416714616285,0.0018390278576938084
Phi-4-mini-instruct,gsm8kfull,64,T1.0,equal_mix,0.006221418958642974,0.12158259804616477,0.0,0.0,0.0,1319,66,1220,33,0.0010700315147316127,0.001783385857886021
Phi-4-mini-instruct,gsm8kfull,64,T1.0,consensus_vote,0.00702706356675157,0.11839774503564814,0.0,0.0,0.0,1319,84,1204,31,2.58592202389111e-06,1.292961011945555e-05
Phi-4-mini-instruct,gsm8kfull,64,equal_mix,consensus_vote,0.0008056446081085953,0.034228791039704526,0.0,0.0,0.0,1319,51,1230,38,0.05595301139534175,0.06994126424417718
Phi-4-mini-instruct,gsm8kfull,64,T1.0,best_fixed_T,0.0,0.0,0.0,0.0,0.0,1319,0,1319,0,1.0,1.0
Phi-4-mini-instruct,gsm8kfull,64,equal_mix,best_fixed_T,-0.006221418958642974,0.12158259804616477,0.0,0.0,0.0,1319,33,1220,66,0.0010700315147316127,0.001783385857886021
Phi-4-mini-instruct,gsm8kfull,128,T1.0,equal_mix,0.006023148684081558,0.1258538892346157,0.0,0.0,0.0,1319,49,1245,25,0.006362194399700127,0.010603657332833546
Phi-4-mini-instruct,gsm8kfull,128,T1.0,consensus_vote,0.005265701122797758,0.11525294090909824,0.0,0.0,0.0,1319,53,1241,25,0.00025488908008220454,0.0012744454004110228
Phi-4-mini-instruct,gsm8kfull,128,equal_mix,consensus_vote,-0.0007574475612838009,0.028475190333229837,0.0,0.0,0.0,1319,30,1265,24,0.36514223659401057,0.45642779574251324
Phi-4-mini-instruct,gsm8kfull,128,T1.0,best_fixed_T,0.0,0.0,0.0,0.0,0.0,1319,0,1319,0,1.0,1.0
Phi-4-mini-instruct,gsm8kfull,128,equal_mix,best_fixed_T,-0.006023148684081558,0.1258538892346157,0.0,0.0,0.0,1319,25,1245,49,0.006362194399700127,0.010603657332833546
Phi-4-mini-instruct,gsm8kfull,256,T1.0,equal_mix,0.006195602615987832,0.13141578364125203,0.0,0.0,0.0,1319,34,1264,21,0.02478732515687689,0.041312208594794814
Phi-4-mini-instruct,gsm8kfull,256,T1.0,consensus_vote,0.004365203323594603,0.11371423657616883,0.0,0.0,0.0,1319,39,1257,23,0.006603202800130645,0.029244411937066672
Phi-4-mini-instruct,gsm8kfull,256,equal_mix,consensus_vote,-0.0018303992923932267,0.03722181840616813,0.0,0.0,0.0,1319,21,1276,22,0.582812563487286,0.582812563487286
Phi-4-mini-instruct,gsm8kfull,256,T1.0,best_fixed_T,-8.645449685636438e-05,0.0701897344418802,0.0,0.0,0.0,1319,25,1277,17,0.2737479750901253,0.3421849688626566
Phi-4-mini-instruct,gsm8kfull,256,equal_mix,best_fixed_T,-0.0062820571128441955,0.10478763297616847,0.0,0.0,0.0,1319,18,1269,32,0.01169776477482667,0.029244411937066672
Phi-4-mini-instruct,gsm8kfull,512,T1.0,equal_mix,0.006190093546782585,0.1349006541358831,0.0,0.0,0.0,1319,29,1273,17,0.09102844921988726,0.15171408203314543
Phi-4-mini-instruct,gsm8kfull,512,T1.0,consensus_vote,0.0034238286996761927,0.11162943146040756,0.0,0.0,0.0,1319,33,1268,18,0.0403681135955397,0.10092028398884925
Phi-4-mini-instruct,gsm8kfull,512,equal_mix,consensus_vote,-0.0027662648471063938,0.04619010367371543,0.0,0.0,0.0,1319,14,1283,22,0.3919684056532239,0.4899605070665298
Phi-4-mini-instruct,gsm8kfull,512,T1.0,best_fixed_T,-0.00013573426985009936,0.07260704980190852,0.0,0.0,0.0,1319,17,1287,15,0.6037784466041893,0.6037784466041893
Phi-4-mini-instruct,gsm8kfull,512,equal_mix,best_fixed_T,-0.006325827816632684,0.10969993566084764,0.0,0.0,0.0,1319,11,1280,28,0.022414787638886973,0.10092028398884925
Phi-4-mini-instruct,gsm8kfull,1024,T1.0,equal_mix,0.0062133434890544945,0.1390772793440051,0.0,0.0,0.0,1319,27,1277,15,0.09255748156138943,0.11569685195173679
Phi-4-mini-instruct,gsm8kfull,1024,T1.0,consensus_vote,0.002752615664945321,0.11115814864847723,0.0,0.0,0.0,1319,30,1274,15,0.07849555386074668,0.11569685195173679
