combo,baseline,N,stratum,mean,std6,n_pids
math1k_Qwen2.5-3B,T0.8,1,overall_md_compat,0.47374583360770095,0.00443600568965744,1000
math1k_Qwen2.5-3B,T0.9,1,L1,0.87546063766158,0.0044278645666468944,199
math1k_Qwen2.5-3B,T0.9,1,L2,0.5603852588262165,0.0033301334731287587,199
math1k_Qwen2.5-3B,T0.9,1,L3,0.42441373485510225,0.0054706204749768875,199
math1k_Qwen2.5-3B,T0.9,1,L4,0.30609605900869874,0.0048633633004600985,203
math1k_Qwen2.5-3B,T0.9,1,L5,0.12043750079969566,0.003178787190874852,200
math1k_Qwen2.5-3B,T0.9,1,Lr,,,0
math1k_Qwen2.5-3B,T0.9,1,overall,0.45641666677594184,0.004345851349894952,1000
math1k_Qwen2.5-3B,T0.9,1,overall_md_compat,0.45641666677594184,0.004345851349894952,1000
math1k_Qwen2.5-3B,T1.0,1,L1,0.8566582937642208,0.004237972160106963,199
math1k_Qwen2.5-3B,T1.0,1,L2,0.5288735336266845,0.006511086477794959,199
math1k_Qwen2.5-3B,T1.0,1,L3,0.39258794005885345,0.004250614867844106,199
math1k_Qwen2.5-3B,T1.0,1,L4,0.2904351395226048,0.004515300539471614,203
math1k_Qwen2.5-3B,T1.0,1,L5,0.11308333370679367,0.0037162370107208364,200
math1k_Qwen2.5-3B,T1.0,1,Lr,,,0
math1k_Qwen2.5-3B,T1.0,1,overall,0.4354208337869495,0.004744142610891965,1000
math1k_Qwen2.5-3B,T1.0,1,overall_md_compat,0.4354208337869495,0.004744142610891965,1000
math1k_Qwen2.5-3B,T1.1,1,L1,0.8282663340382341,0.0035095025320865344,199
math1k_Qwen2.5-3B,T1.1,1,L2,0.48555276409209625,0.004073142780921693,199
math1k_Qwen2.5-3B,T1.1,1,L3,0.35161222768339084,0.0022744129531119483,199
math1k_Qwen2.5-3B,T1.1,1,L4,0.2548645323231107,0.004456528884118864,203
math1k_Qwen2.5-3B,T1.1,1,L5,0.1050625004665926,0.003207169715200012,200
math1k_Qwen2.5-3B,T1.1,1,Lr,,,0
math1k_Qwen2.5-3B,T1.1,1,overall,0.40417083399184056,0.0035875939337722557,1000
math1k_Qwen2.5-3B,T1.1,1,overall_md_compat,0.40417083399184056,0.0035875939337722557,1000
math1k_Qwen2.5-3B,T1.2,1,L1,0.7864531008854283,0.0040881617372886024,199
math1k_Qwen2.5-3B,T1.2,1,L2,0.40822864278302323,0.0037961739754597615,199
math1k_Qwen2.5-3B,T1.2,1,L3,0.2885259631755988,0.004973774441800165,199
math1k_Qwen2.5-3B,T1.2,1,L4,0.2120689657426551,0.0036499770763196485,203
math1k_Qwen2.5-3B,T1.2,1,L5,0.08935416731207323,0.003950804305388489,200
math1k_Qwen2.5-3B,T1.2,1,Lr,,,0
math1k_Qwen2.5-3B,T1.2,1,overall,0.3560791671701396,0.0041161667986099075,1000
math1k_Qwen2.5-3B,T1.2,1,overall_md_compat,0.3560791671701396,0.0041161667986099075,1000
math1k_Qwen2.5-3B,random_T,1,L1,0.8999371881810466,0.0038938634155080204,199
math1k_Qwen2.5-3B,random_T,1,L2,0.5944304841459795,0.006259088436220227,199
math1k_Qwen2.5-3B,random_T,1,L3,0.4512562809115778,0.005581623091524588,199
math1k_Qwen2.5-3B,random_T,1,L4,0.31639983530855187,0.0025387585381514916,203
math1k_Qwen2.5-3B,random_T,1,L5,0.10579166709911077,0.003699380552947789,200
math1k_Qwen2.5-3B,random_T,1,Lr,,,0
math1k_Qwen2.5-3B,random_T,1,overall,0.47256666668194036,0.004588960734583693,1000
math1k_Qwen2.5-3B,random_T,1,overall_md_compat,0.47256666668194036,0.004588960734583693,1000
math1k_Qwen2.5-3B,equal_mix,1,L1,0.9775125628140701,0.0014213201631890033,199
math1k_Qwen2.5-3B,equal_mix,1,L2,0.6978852596314908,0.003033254103344903,199
math1k_Qwen2.5-3B,equal_mix,1,L3,0.4964195979899497,0.0048511010070164794,199
math1k_Qwen2.5-3B,equal_mix,1,L4,0.29396551724137926,0.006145801436284098,203
math1k_Qwen2.5-3B,equal_mix,1,L5,0.056875000000000016,0.001719374886404947,200
math1k_Qwen2.5-3B,equal_mix,1,Lr,,,0
math1k_Qwen2.5-3B,equal_mix,1,overall,0.5032416666666666,0.0038954815120459158,1000
math1k_Qwen2.5-3B,equal_mix,1,overall_md_compat,0.5032416666666666,0.0038954815120459158,1000
math1k_Qwen2.5-3B,consensus_vote,1,L1,0.9775125628140701,0.0014213201631890033,199
math1k_Qwen2.5-3B,consensus_vote,1,L2,0.6978852596314908,0.003033254103344903,199
math1k_Qwen2.5-3B,consensus_vote,1,L3,0.4964195979899497,0.0048511010070164794,199
math1k_Qwen2.5-3B,consensus_vote,1,L4,0.29396551724137926,0.006145801436284098,203
math1k_Qwen2.5-3B,consensus_vote,1,L5,0.056875000000000016,0.001719374886404947,200
math1k_Qwen2.5-3B,consensus_vote,1,Lr,,,0
math1k_Qwen2.5-3B,consensus_vote,1,overall,0.5032416666666666,0.0038954815120459158,1000
math1k_Qwen2.5-3B,consensus_vote,1,overall_md_compat,0.5032416666666666,0.0038954815120459158,1000
math1k_Qwen2.5-3B,T0.1,2,L1,0.9775858466050132,0.0008662118185761617,199
math1k_Qwen2.5-3B,T0.1,2,L2,0.7054334165313136,0.004482963192143677,199
math1k_Qwen2.5-3B,T0.1,2,L3,0.5086055272438219,0.005373596142027926,199
math1k_Qwen2.5-3B,T0.1,2,L4,0.3056958124335176,0.0024993476585967542,203
math1k_Qwen2.5-3B,T0.1,2,L5,0.060927083566784855,0.0017732458929823364,200
math1k_Qwen2.5-3B,T0.1,2,Lr,,,0
math1k_Qwen2.5-3B,T0.1,2,overall,0.5103749999230106,0.0034339203282455866,1000
math1k_Qwen2.5-3B,T0.1,2,overall_md_compat,0.5103749999230106,0.0034339203282455866,1000
math1k_Qwen2.5-3B,T0.2,2,L1,0.9612123128057922,0.002153615388077729,199
math1k_Qwen2.5-3B,T0.2,2,L2,0.6910908704177419,0.0033160639285256875,199
math1k_Qwen2.5-3B,T0.2,2,L3,0.521252093789865,0.003920859580073082,199
math1k_Qwen2.5-3B,T0.2,2,L4,0.34384236415643216,0.0028498611690341694,203
math1k_Qwen2.5-3B,T0.2,2,L5,0.08547916687792168,0.002603083129111949,200
math1k_Qwen2.5-3B,T0.2,2,Lr,,,0
math1k_Qwen2.5-3B,T0.2,2,overall,0.5194333334250065,0.0030289277891438885,1000
math1k_Qwen2.5-3B,T0.2,2,overall_md_compat,0.5194333334250065,0.0030289277891438885,1000
math1k_Qwen2.5-3B,T0.3,2,L1,0.9481155790975145,0.002503123321508423,199
math1k_Qwen2.5-3B,T0.3,2,L2,0.6804752919941491,0.00309729190979785,199
math1k_Qwen2.5-3B,T0.3,2,L3,0.5249267170764194,0.002948227287413166,199
math1k_Qwen2.5-3B,T0.3,2,L4,0.36605090303698246,0.002181112669507866,203
math1k_Qwen2.5-3B,T0.3,2,L5,0.10354166687543814,0.0024557542749564757,200
math1k_Qwen2.5-3B,T0.3,2,Lr,,,0
math1k_Qwen2.5-3B,T0.3,2,overall,0.5235666667370436,0.0026565945705078935,1000
math1k_Qwen2.5-3B,T0.3,2,overall_md_compat,0.5235666667370436,0.0026565945705078935,1000
math1k_Qwen2.5-3B,T0.4,2,L1,0.936756701550292,0.0009421419413729618,199
math1k_Qwen2.5-3B,T0.4,2,L2,0.6686767171849958,0.0014830865556139247,199
math1k_Qwen2.5-3B,T0.4,2,L3,0.5217127299257609,0.003532289053520909,199
math1k_Qwen2.5-3B,T0.4,2,L4,0.3698686374632767,0.004113128033214109,203
math1k_Qwen2.5-3B,T0.4,2,L5,0.11630208355685075,0.0029018896420817224,200
math1k_Qwen2.5-3B,T0.4,2,Lr,,,0
math1k_Qwen2.5-3B,T0.4,2,overall,0.521645833699964,0.0028663208109639005,1000
math1k_Qwen2.5-3B,T0.4,2,overall_md_compat,0.521645833699964,0.0028663208109639005,1000
math1k_Qwen2.5-3B,T0.5,2,L1,0.9284966519130534,0.0005250390570632205,199
math1k_Qwen2.5-3B,T0.5,2,L2,0.6617776388536446,0.004442113224956533,199
math1k_Qwen2.5-3B,T0.5,2,L3,0.5139237857724804,0.0044210875818468075,199
math1k_Qwen2.5-3B,T0.5,2,L4,0.3690784072055373,0.0020383234471993174,203
math1k_Qwen2.5-3B,T0.5,2,L5,0.1251458335202187,0.001906676928008959,200
math1k_Qwen2.5-3B,T0.5,2,Lr,,,0
math1k_Qwen2.5-3B,T0.5,2,overall,0.5186875005980642,0.003072744111860444,1000
math1k_Qwen2.5-3B,T0.5,2,overall_md_compat,0.5186875005980642,0.003072744111860444,1000
math1k_Qwen2.5-3B,T0.6,2,L1,0.9187709402099525,0.0011516862267105046,199
math1k_Qwen2.5-3B,T0.6,2,L2,0.6460950586389457,0.003153595497450159,199
math1k_Qwen2.5-3B,T0.6,2,L3,0.5040619760920205,0.004170526375700698,199
math1k_Qwen2.5-3B,T0.6,2,L4,0.3670258621053621,0.004196011491164637,203
math1k_Qwen2.5-3B,T0.6,2,L5,0.1294687501930942,0.002703513407141361,200
math1k_Qwen2.5-3B,T0.6,2,Lr,,,0
math1k_Qwen2.5-3B,T0.6,2,overall,0.5121166670592502,0.0032772276899828796,1000
math1k_Qwen2.5-3B,T0.6,2,overall_md_compat,0.5121166670592502,0.0032772276899828796,1000
math1k_Qwen2.5-3B,T0.7,2,L1,0.9072445572995061,0.0022650257016824113,199
math1k_Qwen2.5-3B,T0.7,2,L2,0.6289572870511706,0.00305795626275471,199
math1k_Qwen2.5-3B,T0.7,2,L3,0.4897717751493955,0.0049018194866076005,199
math1k_Qwen2.5-3B,T0.7,2,L4,0.35515188832793304,0.0025494892385240597,203
math1k_Qwen2.5-3B,T0.7,2,L5,0.13316666665254162,0.002562855715480709,200
math1k_Qwen2.5-3B,T0.7,2,Lr,,,0
math1k_Qwen2.5-3B,T0.7,2,overall,0.5018979169415931,0.0032088112776791217,1000
math1k_Qwen2.5-3B,T0.7,2,overall_md_compat,0.5018979169415931,0.0032088112776791217,1000
math1k_Qwen2.5-3B,T0.8,2,L1,0.8956448924875939,0.0027819386593421437,199
math1k_Qwen2.5-3B,T0.8,2,L2,0.6106574535120273,0.0026925685383382358,199
math1k_Qwen2.5-3B,T0.8,2,L3,0.47320979838906924,0.005096346917505151,199
math1k_Qwen2.5-3B,T0.8,2,L4,0.3450738912484989,0.0029461568164406864,203
math1k_Qwen2.5-3B,T0.8,2,L5,0.12993750019697473,0.003570276757113302,200
math1k_Qwen2.5-3B,T0.8,2,Lr,,,0
math1k_Qwen2.5-3B,T0.8,2,overall,0.4899604166961896,0.003530268101747997,1000
math1k_Qwen2.5-3B,T0.8,2,overall_md_compat,0.4899604166961896,0.003530268101747997,1000
