model,dataset,stratum,level_n_problems,N,T,mean_acc,std_acc,source,dataset_family
Llama-3.2-3B,gsm8kfull,L1,901,16,0.8,0.99,0.002,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,16,0.9,0.989,0.002,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,16,1.0,0.985,0.003,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,16,1.1,0.979,0.002,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,16,1.2,0.916,0.004,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,32,0.1,1.0,0.0,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,32,0.2,0.999,0.0,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,32,0.3,0.997,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,32,0.4,0.997,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,32,0.5,0.995,0.002,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,32,0.6,0.995,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,32,0.7,0.993,0.002,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,32,0.8,0.992,0.002,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,32,0.9,0.993,0.002,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,32,1.0,0.99,0.002,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,32,1.1,0.985,0.002,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,32,1.2,0.922,0.005,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,64,0.1,1.0,0.0,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,64,0.2,1.0,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,64,0.3,0.997,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,64,0.4,0.997,0.0,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,64,0.5,0.996,0.002,markdown,gsm8kfull
