combo,baseline,N,stratum,mean,std6,n_pids
mathfull_Qwen2.5-3B,T1.0,1,overall,0.5948945026659817,0.0020735948476608306,4771
mathfull_Qwen2.5-3B,T1.1,1,L1,0.8229174356946483,0.0004724542809846235,2715
mathfull_Qwen2.5-3B,T1.1,1,L2,0.47865668337342665,0.001975314968869091,384
mathfull_Qwen2.5-3B,T1.1,1,L3,0.3450654155158346,0.0035342844012702926,293
mathfull_Qwen2.5-3B,T1.1,1,L4,0.25773314907562095,0.003972840579153505,361
mathfull_Qwen2.5-3B,T1.1,1,L5,0.098866241638864,0.0007331965986771318,1018
mathfull_Qwen2.5-3B,T1.1,1,overall,0.568605464656711,0.0015865537775472196,4771
mathfull_Qwen2.5-3B,T1.2,1,L1,0.7780862503977204,0.0005209677490907563,2715
mathfull_Qwen2.5-3B,T1.2,1,L2,0.4055989580010646,0.0030672286037352775,384
mathfull_Qwen2.5-3B,T1.2,1,L3,0.2826791811062699,0.004039001072816257,293
mathfull_Qwen2.5-3B,T1.2,1,L4,0.211322715191217,0.0020279153831003548,361
mathfull_Qwen2.5-3B,T1.2,1,L5,0.08446709281284931,0.001803547411721654,1018
mathfull_Qwen2.5-3B,T1.2,1,overall,0.5267981912458325,0.0017084308940701707,4771
mathfull_Qwen2.5-3B,random_T,1,L1,0.8978468410451219,0.0005707959786199089,2715
mathfull_Qwen2.5-3B,random_T,1,L2,0.5920789922238326,0.0026011266321882965,384
mathfull_Qwen2.5-3B,random_T,1,L3,0.4427047778446485,0.00533825646029048,293
mathfull_Qwen2.5-3B,random_T,1,L4,0.3121652818712322,0.005510771408771682,361
mathfull_Qwen2.5-3B,random_T,1,L5,0.1008840871708908,0.001543209159303611,1018
mathfull_Qwen2.5-3B,random_T,1,overall,0.6309194453689837,0.002299139172372506,4771
mathfull_Qwen2.5-3B,equal_mix,1,L1,0.9773112338858164,0.00023670377919762624,2715
mathfull_Qwen2.5-3B,equal_mix,1,L2,0.698676215277778,0.0028245506046703497,384
mathfull_Qwen2.5-3B,equal_mix,1,L3,0.504707053469852,0.0036274006164750154,293
