combo,baseline,N,stratum,mean,std6,n_pids
mathfull_Llama-3.2-3B,T1.0,1,overall,0.4137769699285614,0.0017321358887592854,4604
mathfull_Llama-3.2-3B,T1.1,1,L1,0.7317544903291141,0.0023689622463883083,1689
mathfull_Llama-3.2-3B,T1.1,1,L2,0.40216666649364763,0.005472313685583798,375
mathfull_Llama-3.2-3B,T1.1,1,L3,0.2972222226184039,0.004113531404600049,315
mathfull_Llama-3.2-3B,T1.1,1,L4,0.21111694728846056,0.00398601805032614,476
mathfull_Llama-3.2-3B,T1.1,1,L5,0.0658233281360218,0.0007136069674666476,1749
mathfull_Llama-3.2-3B,T1.1,1,overall,0.3683726112174192,0.0027371106253012774,4604
mathfull_Llama-3.2-3B,T1.2,1,L1,0.5999728636029472,0.0017720597330249353,1689
mathfull_Llama-3.2-3B,T1.2,1,L2,0.2590000004561411,0.00278408155739561,375
mathfull_Llama-3.2-3B,T1.2,1,L3,0.17653439219981903,0.0019242825785091313,315
mathfull_Llama-3.2-3B,T1.2,1,L4,0.12808123312196604,0.0028712552619833257,476
mathfull_Llama-3.2-3B,T1.2,1,L5,0.03783114190753503,0.0006457714017228087,1749
mathfull_Llama-3.2-3B,T1.2,1,overall,0.28089071122973686,0.001745692405337673,4604
mathfull_Llama-3.2-3B,random_T,1,L1,0.8468102441576075,0.0013735989796922216,1689
mathfull_Llama-3.2-3B,random_T,1,L2,0.5548777769406636,0.003548123851876026,375
mathfull_Llama-3.2-3B,random_T,1,L3,0.423492063062571,0.0036514834951743478,315
mathfull_Llama-3.2-3B,random_T,1,L4,0.2970675772795563,0.002111166030312668,476
mathfull_Llama-3.2-3B,random_T,1,L5,0.08019344456570532,0.0005378502406736701,1749
mathfull_Llama-3.2-3B,random_T,1,overall,0.44600438095789424,0.0017890002530381928,4604
mathfull_Llama-3.2-3B,equal_mix,1,L1,0.9661560094730595,0.0008145351069072633,1689
mathfull_Llama-3.2-3B,equal_mix,1,L2,0.7050888888888888,0.003493910045694932,375
mathfull_Llama-3.2-3B,equal_mix,1,L3,0.4953703703703703,0.0034904998904422284,315
mathfull_Llama-3.2-3B,equal_mix,1,L4,0.2973827030812326,0.004487816958540319,476
mathfull_Llama-3.2-3B,equal_mix,1,L5,0.050848103678292345,0.0006658965261018607,1749
mathfull_Llama-3.2-3B,equal_mix,1,overall,0.49582428323197164,0.0020789490321670378,4604
mathfull_Llama-3.2-3B,T0.1,2,L1,0.9667998828877588,0.0006370390832561507,1689
mathfull_Llama-3.2-3B,T0.1,2,L2,0.7153222222858006,0.0020361914347752186,375
mathfull_Llama-3.2-3B,T0.1,2,L3,0.5119179888377113,0.0032513224251194436,315
mathfull_Llama-3.2-3B,T0.1,2,L4,0.30893294781926467,0.0038383991084564493,476
mathfull_Llama-3.2-3B,T0.1,2,L5,0.05515175365695734,0.00040563950998670733,1749
mathfull_Llama-3.2-3B,T0.1,2,overall,0.5008552350882857,0.0016720048167526609,4604
mathfull_Llama-3.2-3B,T0.2,2,L1,0.9431628691525485,0.0003968231806181908,1689
mathfull_Llama-3.2-3B,T0.2,2,L2,0.6753555553621716,0.0022413952147145593,375
mathfull_Llama-3.2-3B,T0.2,2,L3,0.5107076711755582,0.0031888973253814154,315
mathfull_Llama-3.2-3B,T0.2,2,L4,0.3509628847427275,0.0008674185660579639,476
mathfull_Llama-3.2-3B,T0.2,2,L5,0.07601724820827797,0.0008847747533803569,1749
mathfull_Llama-3.2-3B,T0.2,2,overall,0.5011176880828815,0.0012401197613909946,4604
mathfull_Llama-3.2-3B,T0.3,2,L1,0.9246941007804609,0.0005923744402470848,1689
mathfull_Llama-3.2-3B,T0.3,2,L2,0.6594499998291333,0.00431296518740821,375
mathfull_Llama-3.2-3B,T0.3,2,L3,0.5077447082738948,0.003049253304119843,315
mathfull_Llama-3.2-3B,T0.3,2,L4,0.36472776574239196,0.0030662291253528576,476
mathfull_Llama-3.2-3B,T0.3,2,L5,0.0901741473209585,0.0006515003104400199,1749
mathfull_Llama-3.2-3B,T0.3,2,overall,0.49964523662426924,0.001847507969253138,4604
mathfull_Llama-3.2-3B,T0.4,2,L1,0.9105585175230937,0.00142093320665594,1689
mathfull_Llama-3.2-3B,T0.4,2,L2,0.6472611110210419,0.0029438007383000464,375
mathfull_Llama-3.2-3B,T0.4,2,L3,0.5092063491163705,0.003138786152781619,315
mathfull_Llama-3.2-3B,T0.4,2,L4,0.36799282157671026,0.004037612962277972,476
mathfull_Llama-3.2-3B,T0.4,2,L5,0.0982418527721234,0.0005280810955598929,1749
mathfull_Llama-3.2-3B,T0.4,2,overall,0.49696912169200924,0.0019778823338643925,4604
mathfull_Llama-3.2-3B,T0.5,2,L1,0.8973579058706326,0.0006339534487565132,1689
mathfull_Llama-3.2-3B,T0.5,2,L2,0.6336777772506078,0.0032029615067824036,375
mathfull_Llama-3.2-3B,T0.5,2,L3,0.5005158722987054,0.002516135735284573,315
mathfull_Llama-3.2-3B,T0.5,2,L4,0.3685617992085084,0.0029651080300013813,476
mathfull_Llama-3.2-3B,T0.5,2,L5,0.10401062535703158,0.0007672955085519977,1749
mathfull_Llama-3.2-3B,T0.5,2,overall,0.49267575356891113,0.0015965045975843875,4604
mathfull_Llama-3.2-3B,T0.6,2,L1,0.8851403705000095,0.0007989114609919962,1689
mathfull_Llama-3.2-3B,T0.6,2,L2,0.6206166663136746,0.0024232898097425247,375
mathfull_Llama-3.2-3B,T0.6,2,L3,0.494107143311372,0.003338124825094211,315
mathfull_Llama-3.2-3B,T0.6,2,L4,0.3632309174599486,0.0030042483323562087,476
mathfull_Llama-3.2-3B,T0.6,2,L5,0.10710882431519886,0.0006708182584966199,1749
mathfull_Llama-3.2-3B,T0.6,2,overall,0.48731718858024425,0.0016059052609910674,4604
mathfull_Llama-3.2-3B,T0.7,2,L1,0.8710516593198453,0.0009117958621988651,1689
mathfull_Llama-3.2-3B,T0.7,2,L2,0.606677777538697,0.0031552901316042924,375
mathfull_Llama-3.2-3B,T0.7,2,L3,0.4786706347782263,0.002517106328582612,315
mathfull_Llama-3.2-3B,T0.7,2,L4,0.35629376724651945,0.001833025948174236,476
mathfull_Llama-3.2-3B,T0.7,2,L5,0.10835120080872072,0.0011619330269991538,1749
mathfull_Llama-3.2-3B,T0.7,2,overall,0.479711935826926,0.0015523079389629692,4604
mathfull_Llama-3.2-3B,T0.8,2,L1,0.8547562670149387,0.00038721727123282003,1689
mathfull_Llama-3.2-3B,T0.8,2,L2,0.5855833336081769,0.0017828503231413306,375
mathfull_Llama-3.2-3B,T0.8,2,L3,0.46394841249480295,0.0022126707665200583,315
mathfull_Llama-3.2-3B,T0.8,2,L4,0.3459646358387545,0.002148723744925617,476
mathfull_Llama-3.2-3B,T0.8,2,L5,0.10816538045026629,0.0008263885905391437,1749
mathfull_Llama-3.2-3B,T0.8,2,overall,0.4698699504982458,0.0011771367374449311,4604
mathfull_Llama-3.2-3B,T0.9,2,L1,0.8342609047484059,0.0007594080147590852,1689
mathfull_Llama-3.2-3B,T0.9,2,L2,0.5581277769787445,0.003970133553449447,375
mathfull_Llama-3.2-3B,T0.9,2,L3,0.4401587296853818,0.0042929100646873245,315
mathfull_Llama-3.2-3B,T0.9,2,L4,0.32882090320377616,0.0012845388568523844,476
mathfull_Llama-3.2-3B,T0.9,2,L5,0.10518987061493475,0.0006410198959981841,1749
mathfull_Llama-3.2-3B,T0.9,2,overall,0.45558436532764995,0.0017558414433509458,4604
mathfull_Llama-3.2-3B,T1.0,2,L1,0.8037164502172267,0.0007951593134075081,1689
mathfull_Llama-3.2-3B,T1.0,2,L2,0.514172222400705,0.0028840877933258516,375
mathfull_Llama-3.2-3B,T1.0,2,L3,0.3995502641454102,0.0019219900329047062,315
mathfull_Llama-3.2-3B,T1.0,2,L4,0.300249474621717,0.0024301821581863793,476
mathfull_Llama-3.2-3B,T1.0,2,L5,0.09708881285458686,0.00045232109026865035,1749
mathfull_Llama-3.2-3B,T1.0,2,overall,0.43198894105681457,0.0013603360920813297,4604
mathfull_Llama-3.2-3B,T1.1,2,L1,0.7507783203784252,0.0012312132564665755,1689
mathfull_Llama-3.2-3B,T1.1,2,L2,0.43161111077252357,0.002208938221241096,375
mathfull_Llama-3.2-3B,T1.1,2,L3,0.319133597882908,0.003175140549132475,315
mathfull_Llama-3.2-3B,T1.1,2,L4,0.23144695377472987,0.0016301618576413325,476
mathfull_Llama-3.2-3B,T1.1,2,L5,0.0742459979282995,0.0008193493586511805,1749
mathfull_Llama-3.2-3B,T1.1,2,overall,0.38455057197335785,0.0014741388742692976,4604
mathfull_Llama-3.2-3B,T1.2,2,L1,0.621627689012697,0.0015339306562881536,1689
mathfull_Llama-3.2-3B,T1.2,2,L2,0.2787333334411184,0.0022457862415991444,375
mathfull_Llama-3.2-3B,T1.2,2,L3,0.19254629632566497,0.00214482807002906,315
mathfull_Llama-3.2-3B,T1.2,2,L4,0.13913690488582023,0.0015953479411715248,476
mathfull_Llama-3.2-3B,T1.2,2,L5,0.04160830016085164,0.0003734895140144779,1749
mathfull_Llama-3.2-3B,T1.2,2,overall,0.29411562420339465,0.0013801689961252842,4604
mathfull_Llama-3.2-3B,random_T,2,L1,0.8555950275187616,0.0009562030381666911,1689
mathfull_Llama-3.2-3B,random_T,2,L2,0.575488888932599,0.004079415461813515,375
mathfull_Llama-3.2-3B,random_T,2,L3,0.4428637565088966,0.001582018322451543,315
mathfull_Llama-3.2-3B,random_T,2,L4,0.3180759799489308,0.0030877112251723213,476
mathfull_Llama-3.2-3B,random_T,2,L5,0.08831117810626084,0.0005622922311657397,1749
mathfull_Llama-3.2-3B,random_T,2,overall,0.45748714923821826,0.0017227733376436428,4604
mathfull_Llama-3.2-3B,equal_mix,2,L1,0.9554334418788212,0.0004251302214580294,1689
mathfull_Llama-3.2-3B,equal_mix,2,L2,0.6949000000000002,0.0016857573306316208,375
mathfull_Llama-3.2-3B,equal_mix,2,L3,0.5087632275132276,0.003580008799563777,315
mathfull_Llama-3.2-3B,equal_mix,2,L4,0.3297312675070027,0.0034883367550228943,476
mathfull_Llama-3.2-3B,equal_mix,2,L5,0.06516819134743684,0.0005876448918422005,1749
mathfull_Llama-3.2-3B,equal_mix,2,overall,0.5007615660295386,0.0016012249613828189,4604
mathfull_Llama-3.2-3B,T0.1,4,L1,0.9935368161383101,0.00026774501072807306,1689
mathfull_Llama-3.2-3B,T0.1,4,L2,0.8699407420953115,0.0017514000867507838,375
mathfull_Llama-3.2-3B,T0.1,4,L3,0.6337477967931481,0.003776929887359974,315
mathfull_Llama-3.2-3B,T0.1,4,L4,0.3549683453236036,0.002097479119708547,476
mathfull_Llama-3.2-3B,T0.1,4,L5,0.04850232001441602,0.00045270649114333443,1749
mathfull_Llama-3.2-3B,T0.1,4,overall,0.5338265653371934,0.0013359838520643457,4604
mathfull_Llama-3.2-3B,T0.2,4,L1,0.9850612224348203,0.0004405723120822582,1689
mathfull_Llama-3.2-3B,T0.2,4,L2,0.8373685215976504,0.0030353262304544876,375
mathfull_Llama-3.2-3B,T0.2,4,L3,0.6379254871890657,0.004067406871275064,315
mathfull_Llama-3.2-3B,T0.2,4,L4,0.42467831345685925,0.001179745811345595,476
mathfull_Llama-3.2-3B,T0.2,4,L5,0.07517510172707755,0.0003520337910260415,1749
mathfull_Llama-3.2-3B,T0.2,4,overall,0.5456898911559969,0.0014644155018138122,4604
mathfull_Llama-3.2-3B,T0.3,4,L1,0.9763740889179605,0.00041564526243067503,1689
mathfull_Llama-3.2-3B,T0.3,4,L2,0.8137990767425961,0.0034121371387427993,375
mathfull_Llama-3.2-3B,T0.3,4,L3,0.6408388481490196,0.0016293348671903801,315
mathfull_Llama-3.2-3B,T0.3,4,L4,0.44913413690230924,0.002277599691573502,476
mathfull_Llama-3.2-3B,T0.3,4,L5,0.0933646625182083,0.0005076222871266135,1749
mathfull_Llama-3.2-3B,T0.3,4,overall,0.5502209754643127,0.001351862070275014,4604
mathfull_Llama-3.2-3B,T0.4,4,L1,0.9703420022853971,0.0004431898575520596,1689
mathfull_Llama-3.2-3B,T0.4,4,L2,0.8013055595809387,0.001651651215185173,375
mathfull_Llama-3.2-3B,T0.4,4,L3,0.6386331592346467,0.001978233692770936,315
mathfull_Llama-3.2-3B,T0.4,4,L4,0.4536516736843624,0.001936324766554206,476
mathfull_Llama-3.2-3B,T0.4,4,L5,0.10505328637751736,0.0007704824987705347,1749
mathfull_Llama-3.2-3B,T0.4,4,overall,0.5517469735903205,0.0010840471779849396,4604
mathfull_Llama-3.2-3B,T0.5,4,L1,0.964538724364142,0.0008745601543552968,1689
mathfull_Llama-3.2-3B,T0.5,4,L2,0.7877185224658914,0.0009400985207159601,375
mathfull_Llama-3.2-3B,T0.5,4,L3,0.6300231508331658,0.00242611038377479,315
mathfull_Llama-3.2-3B,T0.5,4,L4,0.45459121576407974,0.002373281091028696,476
mathfull_Llama-3.2-3B,T0.5,4,L5,0.11322839475331438,0.00107484917775908,1749
mathfull_Llama-3.2-3B,T0.5,4,overall,0.5511250054334147,0.0013328558294687322,4604
mathfull_Llama-3.2-3B,T0.6,4,L1,0.9590637560926293,0.00045244140024375864,1689
mathfull_Llama-3.2-3B,T0.6,4,L2,0.7724259285728136,0.0028695126116173187,375
mathfull_Llama-3.2-3B,T0.6,4,L3,0.6226598358530767,0.0043765935474097606,315
mathfull_Llama-3.2-3B,T0.6,4,L4,0.4500262652935019,0.0026429141383600826,476
mathfull_Llama-3.2-3B,T0.6,4,L5,0.11804781524262675,0.000804721329624191,1749
mathfull_Llama-3.2-3B,T0.6,4,overall,0.5487259745195561,0.0017391022829054109,4604
mathfull_Llama-3.2-3B,T0.7,4,L1,0.9520681230466206,0.0007188365086563599,1689
mathfull_Llama-3.2-3B,T0.7,4,L2,0.756241670154863,0.0014524470389190155,375
mathfull_Llama-3.2-3B,T0.7,4,L3,0.6078703736590724,0.0035117434122704017,315
mathfull_Llama-3.2-3B,T0.7,4,L4,0.4440680492698041,0.0018070632287157272,476
mathfull_Llama-3.2-3B,T0.7,4,L5,0.12147517059348369,0.0005164937028609996,1749
mathfull_Llama-3.2-3B,T0.7,4,overall,0.5445154905857631,0.0012822282576393181,4604
mathfull_Llama-3.2-3B,T0.8,4,L1,0.9442980750505718,0.0007644960943223174,1689
mathfull_Llama-3.2-3B,T0.8,4,L2,0.7328814854025841,0.0034347231851194053,375
mathfull_Llama-3.2-3B,T0.8,4,L3,0.5861452865296058,0.0028862289900940708,315
mathfull_Llama-3.2-3B,T0.8,4,L4,0.43010548506185137,0.002603100254853852,476
mathfull_Llama-3.2-3B,T0.8,4,L5,0.1227908034051735,0.0011353717914279655,1749
mathfull_Llama-3.2-3B,T0.8,4,overall,0.5373321236073633,0.0017133407286594206,4604
mathfull_Llama-3.2-3B,T0.9,4,L1,0.9324890248044975,0.0005574003513239444,1689
mathfull_Llama-3.2-3B,T0.9,4,L2,0.7064277819957998,0.003420010330946542,375
mathfull_Llama-3.2-3B,T0.9,4,L3,0.5575705518867209,0.0027343564502122523,315
mathfull_Llama-3.2-3B,T0.9,4,L4,0.40968867209681287,0.0025021390196924495,476
mathfull_Llama-3.2-3B,T0.9,4,L5,0.12021393407291865,0.0007921176074733986,1749
mathfull_Llama-3.2-3B,T0.9,4,overall,0.5258004091223188,0.0015696684043371837,4604
mathfull_Llama-3.2-3B,T1.0,4,L1,0.9143485663110767,0.0004003262990095005,1689
mathfull_Llama-3.2-3B,T1.0,4,L2,0.6552277828653653,0.0035865336504662406,375
mathfull_Llama-3.2-3B,T1.0,4,L3,0.5092107617542659,0.0024643721718201144,315
mathfull_Llama-3.2-3B,T1.0,4,L4,0.37235352930730903,0.001226605014057697,476
mathfull_Llama-3.2-3B,T1.0,4,L5,0.11091338146354757,0.0008067750479005548,1749
mathfull_Llama-3.2-3B,T1.0,4,overall,0.5042733104162768,0.001387388587674907,4604
mathfull_Llama-3.2-3B,T1.1,4,L1,0.8735393682716333,0.0007438303051155216,1689
mathfull_Llama-3.2-3B,T1.1,4,L2,0.5434814876957487,0.003492767818305622,375
mathfull_Llama-3.2-3B,T1.1,4,L3,0.3910857639620426,0.002821954393474425,315
mathfull_Llama-3.2-3B,T1.1,4,L4,0.276202881393409,0.0020731310585269318,476
mathfull_Llama-3.2-3B,T1.1,4,L5,0.07953414025250378,0.0004837873075745162,1749
mathfull_Llama-3.2-3B,T1.1,4,overall,0.4502570263661228,0.0015082240067563052,4604
mathfull_Llama-3.2-3B,T1.2,4,L1,0.7296201773248381,0.0016314762117240695,1689
mathfull_Llama-3.2-3B,T1.2,4,L2,0.31015741214880516,0.00146123050323283,375
mathfull_Llama-3.2-3B,T1.2,4,L3,0.20205137024944028,0.0019230519352136306,315
mathfull_Llama-3.2-3B,T1.2,4,L4,0.14041564749724675,0.0017552536674979066,476
mathfull_Llama-3.2-3B,T1.2,4,L5,0.03790995733905105,0.00048516119021490303,1749
mathfull_Llama-3.2-3B,T1.2,4,overall,0.3356702984971149,0.0013458629789066434,4604
mathfull_Llama-3.2-3B,random_T,4,L1,0.9328148680637461,0.0003928603023036579,1689
mathfull_Llama-3.2-3B,random_T,4,L2,0.7139000036186642,0.003575628937332191,375
mathfull_Llama-3.2-3B,random_T,4,L3,0.5586089118359187,0.004964288276196494,315
mathfull_Llama-3.2-3B,random_T,4,L4,0.3890420806764414,0.002400735399839632,476
mathfull_Llama-3.2-3B,random_T,4,L5,0.09545931216682198,0.00058449426071706,1749
mathfull_Llama-3.2-3B,random_T,4,overall,0.5150610313046782,0.0018734372090828295,4604
mathfull_Llama-3.2-3B,equal_mix,4,L1,0.9847824567462649,0.00023714420879054063,1689
mathfull_Llama-3.2-3B,equal_mix,4,L2,0.8388935185185181,0.0025874827289137743,375
mathfull_Llama-3.2-3B,equal_mix,4,L3,0.6470822310405645,0.0028062081762501613,315
mathfull_Llama-3.2-3B,equal_mix,4,L4,0.4263728408029876,0.002489149614923193,476
mathfull_Llama-3.2-3B,equal_mix,4,L5,0.0785129200813163,0.000659333203649589,1749
mathfull_Llama-3.2-3B,equal_mix,4,overall,0.5477815184863396,0.0013821937833142868,4604
mathfull_Llama-3.2-3B,T0.1,8,L1,0.9991608286941455,7.345388960310486e-05,1689
mathfull_Llama-3.2-3B,T0.1,8,L2,0.9495330718623268,0.0016400704512652992,375
mathfull_Llama-3.2-3B,T0.1,8,L3,0.7421873599212007,0.002833671629881951,315
mathfull_Llama-3.2-3B,T0.1,8,L4,0.4200468013775261,0.0019819824372279307,476
mathfull_Llama-3.2-3B,T0.1,8,L5,0.04815159999027604,0.0007041290635871359,1749
mathfull_Llama-3.2-3B,T0.1,8,overall,0.5563870516565286,0.0011683035921947421,4604
mathfull_Llama-3.2-3B,T0.2,8,L1,0.9956105160382647,0.0002467219642850945,1689
mathfull_Llama-3.2-3B,T0.2,8,L2,0.9233287069929969,0.0014081940154808345,375
mathfull_Llama-3.2-3B,T0.2,8,L3,0.7521725415281715,0.003009000461677128,315
mathfull_Llama-3.2-3B,T0.2,8,L4,0.5222852591660619,0.002732888420473137,476
mathfull_Llama-3.2-3B,T0.2,8,L5,0.08055676140443783,0.0011989855506474574,1749
mathfull_Llama-3.2-3B,T0.2,8,overall,0.5765139740121165,0.0014565732580481363,4604
mathfull_Llama-3.2-3B,T0.3,8,L1,0.9908069612046448,0.00025248312354956957,1689
mathfull_Llama-3.2-3B,T0.3,8,L2,0.9068047242268094,0.0014628776383582812,375
mathfull_Llama-3.2-3B,T0.3,8,L3,0.7530651311877937,0.0018207991474129737,315
mathfull_Llama-3.2-3B,T0.3,8,L4,0.5498471483040382,0.003381509502335756,476
mathfull_Llama-3.2-3B,T0.3,8,L5,0.10402875963143389,0.0010342259951166297,1749
mathfull_Llama-3.2-3B,T0.3,8,overall,0.5852332294899987,0.0014188244006441261,4604
