model,dataset,baseline,stratum,N,mean,std6,n_pids
Llama-3.2-3B,gsm8kfull,T0.6,L1,1,0.916421571201388,0.0009311431726623,901
Llama-3.2-3B,gsm8kfull,T0.6,L1,2,0.9189581038568844,0.000688758959905,901
Llama-3.2-3B,gsm8kfull,T0.6,L1,4,0.9680278098863274,0.0007602060551813,901
Llama-3.2-3B,gsm8kfull,T0.6,L1,8,0.9836471827679716,0.0004990555103725,901
Llama-3.2-3B,gsm8kfull,T0.6,L1,16,0.989851939469015,0.0003159492556535,901
Llama-3.2-3B,gsm8kfull,T0.6,L1,32,0.99221852268952,0.0001504109047805,901
Llama-3.2-3B,gsm8kfull,T0.6,L1,64,0.9928320385464008,0.000208317771939,901
Llama-3.2-3B,gsm8kfull,T0.6,L1,128,0.9931280059237592,0.0001485606645383,901
Llama-3.2-3B,gsm8kfull,T0.6,L1,256,0.9932019977830006,0.0001963966369384,901
Llama-3.2-3B,gsm8kfull,T0.6,L1,512,0.9932459304381412,0.0001402296438169,901
Llama-3.2-3B,gsm8kfull,T0.6,L1,1024,0.993331483534778,7.782345842204859e-05,901
Llama-3.2-3B,gsm8kfull,T0.6,L1,1536,0.9932713651415644,8.64173783515433e-05,901
Llama-3.2-3B,gsm8kfull,T0.6,L1,2048,0.9933268590449535,9.571691511273733e-05,901
Llama-3.2-3B,gsm8kfull,T0.7,L1,1,0.9080327434125562,0.00125159937622,901
Llama-3.2-3B,gsm8kfull,T0.7,L1,2,0.9078477636872732,0.0008001838652322,901
Llama-3.2-3B,gsm8kfull,T0.7,L1,4,0.9639775262504012,0.0004390589028547,901
Llama-3.2-3B,gsm8kfull,T0.7,L1,8,0.980968914328772,0.000322340759291,901
Llama-3.2-3B,gsm8kfull,T0.7,L1,16,0.9879546649009816,0.0002461603609916,901
Llama-3.2-3B,gsm8kfull,T0.7,L1,32,0.9906816501945638,0.0003128836083288,901
Llama-3.2-3B,gsm8kfull,T0.7,L1,64,0.9916358367666392,0.0002273193254011,901
Llama-3.2-3B,gsm8kfull,T0.7,L1,128,0.9919950055593126,0.0001757063625365,901
Llama-3.2-3B,gsm8kfull,T0.7,L1,256,0.9920643729192544,0.0001190211326043,901
Llama-3.2-3B,gsm8kfull,T0.7,L1,512,0.9923233444403816,7.055948333420147e-05,901
Llama-3.2-3B,gsm8kfull,T0.7,L1,1024,0.9923811505885972,7.96567876125724e-05,901
Llama-3.2-3B,gsm8kfull,T0.7,L1,1536,0.9923418424058812,2.3214752821896203e-05,901
Llama-3.2-3B,gsm8kfull,T0.7,L1,2048,0.9922909729983456,4.084239769103916e-05,901
Llama-3.2-3B,gsm8kfull,T0.8,L1,1,0.8960553113022448,0.000983576423054,901
Llama-3.2-3B,gsm8kfull,T0.8,L1,2,0.8966102497504016,0.0007515616250226,901
Llama-3.2-3B,gsm8kfull,T0.8,L1,4,0.959292531415925,0.0006291780345291,901
