model,dataset,stratum,N,equal_mix_mean,equal_mix_std6,n_pids
Qwen2.5-3B,mathfull,L1,64,0.99875,4.442372986399585e-05,2715
Qwen2.5-3B,mathfull,L1,128,0.9987407918968692,7.047357829947549e-05,2715
Qwen2.5-3B,mathfull,L1,256,0.9987239103744628,5.088813576301446e-05,2715
Qwen2.5-3B,mathfull,L2,1,0.6975260416666668,0.0038851426260596,384
Qwen2.5-3B,mathfull,L2,2,0.6966471354166667,0.0022018302317295,384
Qwen2.5-3B,mathfull,L2,4,0.8428864655671299,0.0024543000009185,384
Qwen2.5-3B,mathfull,L2,8,0.9075597692418984,0.0029267188359683,384
Qwen2.5-3B,mathfull,L2,16,0.9428030960648152,0.0018565322785876,384
Qwen2.5-3B,mathfull,L2,32,0.9575551576967596,0.0004332188733139,384
Qwen2.5-3B,mathfull,L2,64,0.965375434027778,0.0008167048923257,384
Qwen2.5-3B,mathfull,L2,128,0.9673502604166666,0.0008237671139524,384
Qwen2.5-3B,mathfull,L2,256,0.9696560329861112,0.0004549922737828,384
Qwen2.5-3B,mathfull,L3,1,0.5058731513083048,0.0017795097690957,293
Qwen2.5-3B,mathfull,L3,2,0.5216723549488055,0.0039297343904997,293
Qwen2.5-3B,mathfull,L3,4,0.6616929749715587,0.002384031376816,293
Qwen2.5-3B,mathfull,L3,8,0.760267586272279,0.0034173506066974,293
Qwen2.5-3B,mathfull,L3,16,0.826510229949863,0.0043910722680403,293
Qwen2.5-3B,mathfull,L3,32,0.8644235874099354,0.0021745302097723,293
Qwen2.5-3B,mathfull,L3,64,0.8870046454304132,0.0018254294002172,293
Qwen2.5-3B,mathfull,L3,128,0.8946861964353431,0.0008501873003353,293
Qwen2.5-3B,mathfull,L3,256,0.8979071861964353,0.0014362325725712,293
Qwen2.5-3B,mathfull,L4,1,0.2980955678670359,0.0027772587117093,361
Qwen2.5-3B,mathfull,L4,2,0.32817405355494,0.0023210985126587,361
Qwen2.5-3B,mathfull,L4,4,0.4217826638965836,0.0029441630960714,361
Qwen2.5-3B,mathfull,L4,8,0.540288165589412,0.0025096304258149,361
Qwen2.5-3B,mathfull,L4,16,0.5964872893214307,0.0017467629859751,361
Qwen2.5-3B,mathfull,L4,32,0.6577825627779611,0.0031807403835524,361
Qwen2.5-3B,mathfull,L4,64,0.6898062041067581,0.0021327045268251,361
Qwen2.5-3B,mathfull,L4,128,0.712070060018467,0.0023075360504244,361
Qwen2.5-3B,mathfull,L4,256,0.722822406894429,0.0015686383983324,361
Qwen2.5-3B,mathfull,L5,1,0.0558816306483299,0.001120095919768,1018
Qwen2.5-3B,mathfull,L5,2,0.0731581532416503,0.0005842523208924,1018
Qwen2.5-3B,mathfull,L5,4,0.0854906816197337,0.0005512023181779,1018
Qwen2.5-3B,mathfull,L5,8,0.1176915276998161,0.0009460018003788,1018
Qwen2.5-3B,mathfull,L5,16,0.1192722357194669,0.0011926485623207,1018
Qwen2.5-3B,mathfull,L5,32,0.1331856141083095,0.0010391627563709,1018
Qwen2.5-3B,mathfull,L5,64,0.1349017804867023,0.001366840945398,1018
Qwen2.5-3B,mathfull,L5,128,0.1393511778074033,0.0015371647484733,1018
Qwen2.5-3B,mathfull,L5,256,0.1393976478934731,0.0006586210036039,1018
Qwen2.5-3B,mathfull,overall,1,0.6778365821281335,0.0015514973836158,4771
Qwen2.5-3B,mathfull,overall,2,0.6802116083280935,0.0013594751667392,4771
Qwen2.5-3B,mathfull,overall,4,0.7224143552481428,0.0012535387477825,4771
Qwen2.5-3B,mathfull,overall,8,0.7522009940180919,0.0014508407764888,4771
Qwen2.5-3B,mathfull,overall,16,0.7651358037691812,0.0014133874739256,4771
Qwen2.5-3B,mathfull,overall,32,0.7765267942412708,0.0011418679872541,4771
Qwen2.5-3B,mathfull,overall,64,0.7815034227616392,0.0010011193146362,4771
Qwen2.5-3B,mathfull,overall,128,0.7847628581492683,0.0010044421810143,4771
Qwen2.5-3B,mathfull,overall,256,0.7859601411304408,0.0006508127157717,4771
Qwen3-4B-Instruct-2507,aime,L1,1,0.9435185185185185,0.013997885800302328,18
Qwen3-4B-Instruct-2507,aime,L1,2,0.9469907407407407,0.011527927183961973,18
Qwen3-4B-Instruct-2507,aime,L1,4,0.9883487654320989,0.006719675990288632,18
Qwen3-4B-Instruct-2507,aime,L1,8,0.9981481481481482,0.0026414982921654532,18
Qwen3-4B-Instruct-2507,aime,L1,16,1.0,0.0,18
Qwen3-4B-Instruct-2507,aime,L1,32,1.0,0.0,18
Qwen3-4B-Instruct-2507,aime,L1,64,1.0,0.0,18
Qwen3-4B-Instruct-2507,aime,L1,128,1.0,0.0,18
Qwen3-4B-Instruct-2507,aime,L1,256,1.0,0.0,18
Qwen3-4B-Instruct-2507,aime,L2,1,0.686574074074074,0.04410810233231558,9
Qwen3-4B-Instruct-2507,aime,L2,2,0.7122685185185185,0.026080803924214663,9
Qwen3-4B-Instruct-2507,aime,L2,4,0.862962962962963,0.021462815165822217,9
Qwen3-4B-Instruct-2507,aime,L2,8,0.9342592592592592,0.013485817882153639,9
Qwen3-4B-Instruct-2507,aime,L2,16,0.9784722222222223,0.009206563010653543,9
Qwen3-4B-Instruct-2507,aime,L2,32,0.9949074074074075,0.0059056365626302945,9
Qwen3-4B-Instruct-2507,aime,L2,64,0.9995370370370371,0.0019641855032959316,9
Qwen3-4B-Instruct-2507,aime,L2,128,1.0,0.0,9
Qwen3-4B-Instruct-2507,aime,L2,256,1.0,0.0,9
Qwen3-4B-Instruct-2507,aime,L3,1,0.4950757575757576,0.03939047916038654,11
Qwen3-4B-Instruct-2507,aime,L3,2,0.5329545454545456,0.029232204506383506,11
Qwen3-4B-Instruct-2507,aime,L3,4,0.6858901515151515,0.035427573706730005,11
Qwen3-4B-Instruct-2507,aime,L3,8,0.8306939935064935,0.02650887074478776,11
Qwen3-4B-Instruct-2507,aime,L3,16,0.9131313131313131,0.02475681384285607,11
Qwen3-4B-Instruct-2507,aime,L3,32,0.9684343434343435,0.015007801702876423,11
Qwen3-4B-Instruct-2507,aime,L3,64,0.9880681818181819,0.01106326503945978,11
Qwen3-4B-Instruct-2507,aime,L3,128,0.9979166666666667,0.0036084391824351375,11
Qwen3-4B-Instruct-2507,aime,L3,256,1.0,0.0,11
Qwen3-4B-Instruct-2507,aime,L4,1,0.28518518518518515,0.05363521335010338,9
Qwen3-4B-Instruct-2507,aime,L4,2,0.33124999999999993,0.03139319046238218,9
Qwen3-4B-Instruct-2507,aime,L4,4,0.4054398148148148,0.051168705284216055,9
Qwen3-4B-Instruct-2507,aime,L4,8,0.5218270502645502,0.04499494707636323,9
Qwen3-4B-Instruct-2507,aime,L4,16,0.5948456790123456,0.05008388988721388,9
Qwen3-4B-Instruct-2507,aime,L4,32,0.6075617283950617,0.03767619785452958,9
Qwen3-4B-Instruct-2507,aime,L4,64,0.6289351851851852,0.024095320930436672,9
Qwen3-4B-Instruct-2507,aime,L4,128,0.6349537037037037,0.032911831571752516,9
Qwen3-4B-Instruct-2507,aime,L4,256,0.6388888888888888,0.021959163488418896,9
Qwen3-4B-Instruct-2507,aime,L5,1,0.031018518518518487,0.008018571492270598,36
Qwen3-4B-Instruct-2507,aime,L5,2,0.03767361111111107,0.006821994935426827,36
Qwen3-4B-Instruct-2507,aime,L5,4,0.04526427469135799,0.006431948560270255,36
Qwen3-4B-Instruct-2507,aime,L5,8,0.04836185515873012,0.00878550206921916,36
Qwen3-4B-Instruct-2507,aime,L5,16,0.036724759615384565,0.008279504871892295,36
Qwen3-4B-Instruct-2507,aime,L5,32,0.033487654320987575,0.00853718941471877,36
Qwen3-4B-Instruct-2507,aime,L5,64,0.03105709876543205,0.005334357292159355,36
Qwen3-4B-Instruct-2507,aime,L5,128,0.029513888888888864,0.003904934542814998,36
Qwen3-4B-Instruct-2507,aime,L5,256,0.028993055555555536,0.0022546365433835803,36
Qwen3-4B-Instruct-2507,aime,overall,1,0.3890562248995983,0.028265032182557614,83
Qwen3-4B-Instruct-2507,aime,overall,2,0.4054969879518072,0.01851697634611706,83
Qwen3-4B-Instruct-2507,aime,overall,4,0.4624121485943775,0.022976765043193906,83
Qwen3-4B-Instruct-2507,aime,overall,8,0.5054229417670683,0.019166955859069773,83
Qwen3-4B-Instruct-2507,aime,overall,16,0.524414420502523,0.01980267623380473,83
Qwen3-4B-Instruct-2507,aime,overall,32,0.5335006693440428,0.014804239377780306,83
Qwen3-4B-Instruct-2507,aime,overall,64,0.5378681392235608,0.00958835265038145,83
Qwen3-4B-Instruct-2507,aime,overall,128,0.5392068273092369,0.011215777172576344,83
Qwen3-4B-Instruct-2507,aime,overall,256,0.539683734939759,0.007381877551953851,83
