model,dataset,baseline,stratum,N,mean,std6,n_pids
Llama-3.2-3B,gsm8kfull,T0.1,overall,64,0.8105993862492124,0.0012359089969784,1258
Llama-3.2-3B,gsm8kfull,T0.1,overall,128,0.8111232556877722,0.0014696535632086,1258
Llama-3.2-3B,gsm8kfull,T0.1,overall,256,0.8111994347746558,0.0010333595629574,1258
Llama-3.2-3B,gsm8kfull,T0.1,overall,512,0.8114390125569494,0.0010374943373819,1258
Llama-3.2-3B,gsm8kfull,T0.1,overall,1024,0.811694599051378,0.0010582695332507,1258
Llama-3.2-3B,gsm8kfull,T0.1,overall,1536,0.8116686539467826,0.000676359316701,1258
Llama-3.2-3B,gsm8kfull,T0.2,L1,1,0.964303553300106,0.0004681757270584,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,2,0.9648029980281746,0.0006081582821052,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,4,0.9884260550742232,0.0003694061121643,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,8,0.9950938006374423,0.0002550961688372,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,16,0.996716611300944,0.0001261392711765,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,32,0.9971166296820376,4.3356924479254125e-05,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,64,0.997343229742523,4.704722930779049e-05,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,128,0.9975305216492348,0.0001150745852444,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,256,0.997662319647044,4.538131984215e-05,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,512,0.9977386237580028,3.722643593113259e-05,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,1024,0.9977617462145324,2.265528803906616e-05,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,1536,0.9977756196862452,1.1327633216650052e-05,901
Llama-3.2-3B,gsm8kfull,T0.2,L2,1,0.6561827946414229,0.0141799488864538,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,2,0.6678091402976745,0.004494956952769,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,4,0.8021841413711989,0.0030778536766868,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,8,0.8818988436332313,0.004286088375317,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,16,0.9288530470703238,0.0046179991239729,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,32,0.9499663989790664,0.0024241108687744,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,64,0.9577956988165776,0.0025299540547687,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,128,0.9598790326566304,0.0017622403026246,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,256,0.9640793011583868,0.0019481135211934,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,512,0.9690524195471116,0.0019116049009275,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,1024,0.9702956988926856,0.0018638744221879,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,1536,0.971068548218858,0.0015341141031086,62
Llama-3.2-3B,gsm8kfull,T0.2,L3,1,0.5354166655904716,0.0056672777398721,48
Llama-3.2-3B,gsm8kfull,T0.2,L3,2,0.536979166790843,0.0056119627601532,48
Llama-3.2-3B,gsm8kfull,T0.2,L3,4,0.6663845479488372,0.0052768035472274,48
Llama-3.2-3B,gsm8kfull,T0.2,L3,8,0.7469895014849802,0.0065358152003729,48
Llama-3.2-3B,gsm8kfull,T0.2,L3,16,0.8158564833510252,0.0058356752905147,48
Llama-3.2-3B,gsm8kfull,T0.2,L3,32,0.851519098919299,0.0095987860323136,48
Llama-3.2-3B,gsm8kfull,T0.2,L3,64,0.8667100699773679,0.0044695159332317,48
Llama-3.2-3B,gsm8kfull,T0.2,L3,128,0.8701678243394579,0.0051891035375126,48
Llama-3.2-3B,gsm8kfull,T0.2,L3,256,0.8759982638972966,0.0041320722668001,48
Llama-3.2-3B,gsm8kfull,T0.2,L3,512,0.8779513888164526,0.0044398305978275,48
Llama-3.2-3B,gsm8kfull,T0.2,L3,1024,0.8755208336547691,0.0024978286873819,48
Llama-3.2-3B,gsm8kfull,T0.2,L3,1536,0.8745225694664339,0.0029847732407924,48
Llama-3.2-3B,gsm8kfull,T0.2,L4,1,0.3810897440386888,0.0070055627725936,65
Llama-3.2-3B,gsm8kfull,T0.2,L4,2,0.3912499997287224,0.0091014577494494,65
Llama-3.2-3B,gsm8kfull,T0.2,L4,4,0.4345619643345857,0.0071977701545742,65
Llama-3.2-3B,gsm8kfull,T0.2,L4,8,0.4778394409335959,0.0093057837059181,65
Llama-3.2-3B,gsm8kfull,T0.2,L4,16,0.5137570225179959,0.0069017886909259,65
Llama-3.2-3B,gsm8kfull,T0.2,L4,32,0.5223386770854586,0.0059408466710757,65
Llama-3.2-3B,gsm8kfull,T0.2,L4,64,0.5350373938966256,0.0039986032709287,65
Llama-3.2-3B,gsm8kfull,T0.2,L4,128,0.5437500002459648,0.0063150288809163,65
Llama-3.2-3B,gsm8kfull,T0.2,L4,256,0.5523397441022099,0.0041199056265941,65
Llama-3.2-3B,gsm8kfull,T0.2,L4,512,0.5543482904585126,0.0057184970280823,65
Llama-3.2-3B,gsm8kfull,T0.2,L4,1024,0.5603205130125085,0.0026913918378527,65
Llama-3.2-3B,gsm8kfull,T0.2,L4,1536,0.5596474366238675,0.002387766731088,65
Llama-3.2-3B,gsm8kfull,T0.2,L5,1,0.1186584256207331,0.0053479186991967,182
Llama-3.2-3B,gsm8kfull,T0.2,L5,2,0.1202152015499757,0.0021464058313246,182
Llama-3.2-3B,gsm8kfull,T0.2,L5,4,0.1026919271102714,0.0013177833456887,182
Llama-3.2-3B,gsm8kfull,T0.2,L5,8,0.0946739279119649,0.0030647233877818,182
Llama-3.2-3B,gsm8kfull,T0.2,L5,16,0.0895577129543735,0.0024801427075864,182
Llama-3.2-3B,gsm8kfull,T0.2,L5,32,0.0842876769704641,0.0013839438293515,182
Llama-3.2-3B,gsm8kfull,T0.2,L5,64,0.0814713068006239,0.0016557698909866,182
Llama-3.2-3B,gsm8kfull,T0.2,L5,128,0.083037622140775,0.0012511486951665,182
Llama-3.2-3B,gsm8kfull,T0.2,L5,256,0.0820112179968192,0.0018156904526609,182
Llama-3.2-3B,gsm8kfull,T0.2,L5,512,0.0826694140493897,0.0009483660129849,182
Llama-3.2-3B,gsm8kfull,T0.2,L5,1024,0.0820970697517783,0.0008362965323786,182
Llama-3.2-3B,gsm8kfull,T0.2,L5,1536,0.081891025695438,0.0010211751070634,182
Llama-3.2-3B,gsm8kfull,T0.2,overall,1,0.7802762333585013,0.0042385973798619,1258
Llama-3.2-3B,gsm8kfull,T0.2,overall,2,0.7820167604072052,0.0027219454254143,1258
Llama-3.2-3B,gsm8kfull,T0.2,overall,4,0.8101988943595001,0.002134283314878,1258
Llama-3.2-3B,gsm8kfull,T0.2,overall,8,0.8230548150171196,0.0029008936365285,1258
Llama-3.2-3B,gsm8kfull,T0.2,overall,16,0.8302745446126595,0.0023901866286499,1258
Llama-3.2-3B,gsm8kfull,T0.2,overall,32,0.8326433132333256,0.0024304734301283,1258
Llama-3.2-3B,gsm8kfull,T0.2,overall,64,0.8340197735489261,0.0015172436174834,1258
Llama-3.2-3B,gsm8kfull,T0.2,overall,128,0.8350653043279604,0.0018646636742502,1258
Llama-3.2-3B,gsm8kfull,T0.2,overall,256,0.8358845058687931,0.0014812013104498,1258
Llama-3.2-3B,gsm8kfull,T0.2,overall,512,0.8364577813337548,0.0016592134877356,1258
Llama-3.2-3B,gsm8kfull,T0.2,overall,1024,0.8366686539957918,0.0009407967581216,1258
Llama-3.2-3B,gsm8kfull,T0.2,overall,1536,0.8366140037507044,0.0009494543257799,1258
Llama-3.2-3B,gsm8kfull,T0.3,L1,1,0.9495791733496464,0.0011800012059344,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,2,0.9503422137701286,0.0009637285904611,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,4,0.9823201851263956,0.0004794139674266,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,8,0.991730831866678,0.0004163748624829,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,16,0.9944529229298902,0.0001505838658827,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,32,0.9951766556431376,0.0001408459126526,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,64,0.9949616167347712,0.0001201211114271,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,128,0.994799759527348,5.6468045975012767e-05,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,256,0.9945847206827236,4.6979004044996304e-05,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,512,0.9945454125034532,4.423586282751274e-05,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,1024,0.9944899186093664,1.8440068414837654e-05,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,1536,0.9944552349242274,1.1327644188301105e-05,901
Llama-3.2-3B,gsm8kfull,T0.3,L2,1,0.6407258054742249,0.0069373589522171,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,2,0.6457997313750687,0.0064910779235539,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,4,0.7766073035296573,0.0024633309585266,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,8,0.8509720635590373,0.003873594201796,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,16,0.8942204311850571,0.0038304690144258,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,32,0.9044690878601164,0.0059308701774361,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,64,0.9097782262195384,0.0029706276367117,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,128,0.912567204102293,0.0030487353919528,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,256,0.9150537635369966,0.0021925498263,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,512,0.919321236350844,0.0011853509299005,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,1024,0.9235215054083896,0.0018725774088132,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,1536,0.9248655916702364,0.0014179949513399,62
Llama-3.2-3B,gsm8kfull,T0.3,L3,1,0.549565972139438,0.0124015959033135,48
